Year,Portfolio,index_dollar,USD,index_shekels
1990,S&P 500,200.946494639299,2.048,411.53842102128436
1991,S&P 500,261.69261996875906,2.283,597.4442513886769
1992,S&P 500,281.29339720441914,2.764,777.4949498730144
1993,S&P 500,309.3383489056997,2.986,923.6843098324194
1994,S&P 500,313.45254894614555,3.018,945.9997927194672
1995,S&P 500,430.0568971541117,3.135,1348.2283725781401
1996,S&P 500,527.5938014286642,3.251,1715.207448444587
1997,S&P 500,702.227349701552,3.536,2483.075908544688
1998,S&P 500,901.2385806069717,4.16,3749.1524953250023
1999,S&P 500,1089.5073200957681,4.153,4524.723900357724
2000,S&P 500,991.1248090911203,4.041,4005.1353535372173
2001,S&P 500,873.6765192138224,4.416,3858.15550884824
2002,S&P 500,681.7297879425457,4.737,3229.354005483839
2003,S&P 500,875.0683558030518,4.379,3831.924330061563
2004,S&P 500,969.0506972162995,4.308,4174.670403607818
2005,S&P 500,1015.8558458918467,4.603,4675.9844586401705
2006,S&P 500,1174.430943435564,4.225,4961.970736015257
2007,S&P 500,1238.7897591358326,3.846,4764.3854136364125
2008,S&P 500,786.0121021716859,3.802,2988.4180124567497
2009,S&P 500,989.9036414750212,3.775,3736.886246568205
2010,S&P 500,1136.6073611416195,3.549,4033.8195246916075
2011,S&P 500,1160.4761157255934,3.821,4434.179238187493
2012,S&P 500,1344.8757705143903,3.733,5020.421251330219
2013,S&P 500,1777.2533307347667,3.471,6168.846310980375
2014,S&P 500,2017.537981050107,3.889,7846.205208303865
2015,S&P 500,2044.9764975923886,3.902,7979.4982936055
2016,S&P 500,2289.555686704438,3.845,8803.341615378564
2017,S&P 500,2789.3656931120167,3.467,9670.730858019362
2018,S&P 500,2667.19147575371,3.748,9996.633651124906
2019,S&P 500,3507.090071468554,3.456,12120.503286995323
2020,S&P 500,4152.394644618767,3.215,13349.948782449337
2021,S&P 500,5436.315068734891,3.11,16906.93986376551
2022,S&P 500,4451.798409787001,3.519,15665.878604040458
2023,S&P 500,5622.176211720004,3.627,20391.633119908452
2024,S&P 500,7028.844699892349,3.64172,25597.084320491966
2025,S&P 500,8285.602132233102,3.18691,26405.468291234996
2026,S&P 500,8994.849674752255,2.9031,26112.94809077327
