dataset,city,year,deals
odata_all_cities,אבו גוש,1999,1
odata_all_cities,אבו גוש,2007,2
odata_all_cities,אבו גוש,2008,1
odata_all_cities,אבו גוש,2010,1
odata_all_cities,אבו גוש,2011,3
odata_all_cities,אבו גוש,2012,1
odata_all_cities,אבו גוש,2013,2
odata_all_cities,אבו גוש,2014,1
odata_all_cities,אבו גוש,2015,3
odata_all_cities,אבו גוש,2016,1
odata_all_cities,אבו גוש,2017,1
odata_all_cities,אבו גוש,2019,1
odata_all_cities,אבו גוש,2020,3
odata_all_cities,אבו גוש,2021,4
odata_all_cities,אבו גוש,2022,2
odata_all_cities,אבו גוש,2023,1
odata_all_cities,אבו גוש,2024,1
odata_all_cities,אביחיל,2006,1
odata_all_cities,אביחיל,2007,1
odata_all_cities,אביחיל,2009,1
odata_all_cities,אביחיל,2013,1
odata_all_cities,אביחיל,2014,1
odata_all_cities,אביחיל,2015,1
odata_all_cities,אביחיל,2016,3
odata_all_cities,אביחיל,2017,2
odata_all_cities,אביחיל,2018,2
odata_all_cities,אביחיל,2020,1
odata_all_cities,אביחיל,2021,4
odata_all_cities,אביחיל,2022,5
odata_all_cities,אביחיל,2023,5
odata_all_cities,אביחיל,2024,1
odata_all_cities,אבן יהודה,1998,42
odata_all_cities,אבן יהודה,1999,43
odata_all_cities,אבן יהודה,2000,35
odata_all_cities,אבן יהודה,2001,26
odata_all_cities,אבן יהודה,2002,33
odata_all_cities,אבן יהודה,2003,25
odata_all_cities,אבן יהודה,2004,39
odata_all_cities,אבן יהודה,2005,40
odata_all_cities,אבן יהודה,2006,57
odata_all_cities,אבן יהודה,2007,74
odata_all_cities,אבן יהודה,2008,87
odata_all_cities,אבן יהודה,2009,97
odata_all_cities,אבן יהודה,2010,106
odata_all_cities,אבן יהודה,2011,58
odata_all_cities,אבן יהודה,2012,77
odata_all_cities,אבן יהודה,2013,86
odata_all_cities,אבן יהודה,2014,77
odata_all_cities,אבן יהודה,2015,92
odata_all_cities,אבן יהודה,2016,78
odata_all_cities,אבן יהודה,2017,66
odata_all_cities,אבן יהודה,2018,59
odata_all_cities,אבן יהודה,2019,85
odata_all_cities,אבן יהודה,2020,90
odata_all_cities,אבן יהודה,2021,161
odata_all_cities,אבן יהודה,2022,78
odata_all_cities,אבן יהודה,2023,41
odata_all_cities,אבן יהודה,2024,28
odata_all_cities,אבן ספיר,2022,3
odata_all_cities,אבן ספיר,2023,2
odata_all_cities,אדורה,2017,1
odata_all_cities,אודים,2001,1
odata_all_cities,אודים,2003,1
odata_all_cities,אודים,2004,1
odata_all_cities,אודים,2006,1
odata_all_cities,אודים,2017,2
odata_all_cities,אודים,2018,4
odata_all_cities,אודים,2019,1
odata_all_cities,אודים,2020,1
odata_all_cities,אודים,2021,2
odata_all_cities,אודים,2022,3
odata_all_cities,אודים,2023,1
odata_all_cities,אופקים,1998,21
odata_all_cities,אופקים,1999,31
