city,old_rows,odata_rows,odata_minus_old,old_min_date,old_max_date,odata_min_date,odata_max_date,odata_rows_after_old_city_max
רחובות,23895,13682,-10213,1998-01-01,2024-09-19,1998-01-01,2024-09-19,0
רמת גן,39019,30048,-8971,1998-01-01,2025-08-24,1998-01-01,2025-08-24,0
חיפה,62472,53685,-8787,1998-01-01,2027-07-29,1998-01-01,2027-07-29,0
נתניה,45471,36964,-8507,1998-01-01,2024-09-16,1998-01-01,2024-09-15,0
פתח תקווה,49408,40904,-8504,1998-01-01,2027-04-25,1998-01-01,2027-04-25,0
באר שבע,42077,35465,-6612,1998-01-04,2024-09-17,1998-01-04,2024-09-17,0
חולון,36352,31868,-4484,1998-01-01,2024-09-19,1998-01-01,2024-09-19,0
מודיעין-מכבים-רעות,14520,10554,-3966,1998-01-06,2024-09-11,1998-01-06,2024-09-08,0
בית שמש,13149,13149,0,1998-01-01,2024-09-17,1998-01-01,2024-09-17,0
חדרה,18356,18356,0,1998-01-01,2024-09-15,1998-01-01,2024-09-15,0
אשקלון,22776,22776,0,1998-01-01,2024-09-19,1998-01-01,2024-09-19,0
רעננה,15041,15041,0,1998-01-01,2024-09-11,1998-01-01,2024-09-11,0
ירושלים,65504,65701,197,1998-01-01,2024-09-17,1998-01-01,2024-09-17,0
כפר סבא,17076,20215,3139,1998-01-01,2026-11-29,1998-01-01,2026-11-29,0
בני ברק,24124,27592,3468,1998-01-01,2024-09-19,1998-01-01,2024-09-19,0
ראשון לציון,40730,45029,4299,1998-01-01,2024-09-15,1998-01-01,2024-09-15,0
הרצלייה,18384,22819,4435,1998-01-01,2024-09-12,1998-01-01,2024-09-12,0
בת ים,29157,40399,11242,1998-01-02,2024-09-11,1998-01-02,2024-09-11,0
אשדוד,34120,51625,17505,1998-01-01,2024-09-18,1998-01-01,2024-09-18,0
תל אביב -יפו,100245,122738,22493,1998-01-01,2026-11-30,1998-01-01,2026-11-30,0
