city,year,old_current_data,odata_all_cities,odata_minus_old
אשדוד,1998,546,867,321
אשדוד,1999,693,1096,403
אשדוד,2000,424,656,232
אשדוד,2001,415,673,258
אשדוד,2002,467,758,291
אשדוד,2003,484,756,272
אשדוד,2004,501,756,255
אשדוד,2005,338,517,179
אשדוד,2006,463,684,221
אשדוד,2007,1081,1662,581
אשדוד,2008,1189,1861,672
אשדוד,2009,1326,2061,735
אשדוד,2010,1448,2257,809
אשדוד,2011,1267,1934,667
אשדוד,2012,1509,2222,713
אשדוד,2013,1633,2465,832
אשדוד,2014,1644,2485,841
אשדוד,2015,2028,3010,982
אשדוד,2016,1728,2524,796
אשדוד,2017,1448,2100,652
אשדוד,2018,1799,2612,813
אשדוד,2019,1898,2810,912
אשדוד,2020,1976,3062,1086
אשדוד,2021,2878,4481,1603
אשדוד,2022,2496,3734,1238
אשדוד,2023,1358,2009,651
אשדוד,2024,1083,1573,490
אשקלון,1998,153,153,0
אשקלון,1999,207,207,0
אשקלון,2000,207,207,0
אשקלון,2001,202,202,0
אשקלון,2002,243,243,0
אשקלון,2003,204,204,0
אשקלון,2004,239,239,0
אשקלון,2005,199,199,0
אשקלון,2006,194,194,0
אשקלון,2007,431,431,0
אשקלון,2008,456,456,0
אשקלון,2009,709,709,0
אשקלון,2010,975,975,0
אשקלון,2011,914,914,0
אשקלון,2012,1135,1135,0
אשקלון,2013,1409,1409,0
אשקלון,2014,1405,1405,0
אשקלון,2015,1607,1607,0
אשקלון,2016,1439,1439,0
אשקלון,2017,1129,1129,0
אשקלון,2018,1057,1057,0
אשקלון,2019,1153,1153,0
אשקלון,2020,1210,1210,0
אשקלון,2021,2253,2253,0
אשקלון,2022,1623,1623,0
אשקלון,2023,1173,1173,0
אשקלון,2024,850,850,0
באר שבע,1998,471,436,-35
באר שבע,1999,494,446,-48
באר שבע,2000,376,346,-30
באר שבע,2001,615,556,-59
באר שבע,2002,567,502,-65
באר שבע,2003,538,491,-47
באר שבע,2004,457,397,-60
באר שבע,2005,312,275,-37
באר שבע,2006,260,232,-28
באר שבע,2007,486,429,-57
באר שבע,2008,700,598,-102
באר שבע,2009,673,602,-71
באר שבע,2010,1354,1182,-172
באר שבע,2011,1421,1200,-221
באר שבע,2012,2063,1754,-309
באר שבע,2013,2449,1986,-463
באר שבע,2014,2099,1652,-447
באר שבע,2015,2535,2102,-433
באר שבע,2016,2694,2296,-398
באר שבע,2017,2270,1910,-360
באר שבע,2018,2228,1858,-370
באר שבע,2019,2321,1972,-349
באר שבע,2020,2420,2044,-376
באר שבע,2021,3785,3160,-625
באר שבע,2022,3801,3174,-627
באר שבע,2023,2582,2143,-439
באר שבע,2024,2106,1722,-384
בית שמש,1998,78,78,0
בית שמש,1999,152,152,0
בית שמש,2000,123,123,0
בית שמש,2001,151,151,0
בית שמש,2002,166,166,0
בית שמש,2003,214,214,0
בית שמש,2004,195,195,0
בית שמש,2005,164,164,0
בית שמש,2006,116,116,0
בית שמש,2007,331,331,0
בית שמש,2008,363,363,0
בית שמש,2009,434,434,0
בית שמש,2010,466,466,0
בית שמש,2011,549,549,0
בית שמש,2012,617,617,0
בית שמש,2013,605,605,0
בית שמש,2014,602,602,0
בית שמש,2015,641,641,0
בית שמש,2016,674,674,0
בית שמש,2017,612,612,0
בית שמש,2018,615,615,0
בית שמש,2019,1123,1123,0
בית שמש,2020,1109,1109,0
בית שמש,2021,1288,1288,0
בית שמש,2022,829,829,0
בית שמש,2023,549,549,0
בית שמש,2024,383,383,0
בני ברק,1998,378,443,65
בני ברק,1999,454,523,69
בני ברק,2000,383,452,69
בני ברק,2001,493,590,97
בני ברק,2002,591,688,97
בני ברק,2003,653,767,114
בני ברק,2004,647,769,122
בני ברק,2005,750,857,107
בני ברק,2006,620,687,67
בני ברק,2007,792,914,122
בני ברק,2008,787,907,120
בני ברק,2009,769,896,127
בני ברק,2010,829,964,135
בני ברק,2011,782,918,136
בני ברק,2012,890,1009,119
בני ברק,2013,1118,1275,157
בני ברק,2014,994,1149,155
בני ברק,2015,1124,1268,144
בני ברק,2016,1143,1331,188
בני ברק,2017,1088,1231,143
בני ברק,2018,1244,1412,168
בני ברק,2019,1154,1295,141
בני ברק,2020,1159,1313,154
בני ברק,2021,1641,1829,188
בני ברק,2022,1668,1872,204
בני ברק,2023,1172,1326,154
בני ברק,2024,801,907,106
בת ים,1998,723,1014,291
בת ים,1999,803,1089,286
בת ים,2000,831,1127,296
בת ים,2001,726,1002,276
בת ים,2002,782,1098,316
בת ים,2003,739,1013,274
בת ים,2004,786,1107,321
בת ים,2005,962,1333,371
בת ים,2006,1039,1450,411
בת ים,2007,1363,1882,519
בת ים,2008,1075,1515,440
בת ים,2009,1120,1580,460
בת ים,2010,1053,1505,452
בת ים,2011,863,1231,368
בת ים,2012,1076,1545,469
בת ים,2013,1131,1592,461
בת ים,2014,1052,1425,373
בת ים,2015,1319,1802,483
בת ים,2016,1398,1899,501
בת ים,2017,1110,1500,390
בת ים,2018,1212,1668,456
בת ים,2019,1257,1717,460
בת ים,2020,1171,1604,433
בת ים,2021,2099,2881,782
בת ים,2022,1606,2283,677
בת ים,2023,1019,1395,376
בת ים,2024,842,1142,300
הרצלייה,1998,364,437,73
הרצלייה,1999,342,406,64
הרצלייה,2000,368,452,84
הרצלייה,2001,432,538,106
הרצלייה,2002,471,557,86
הרצלייה,2003,503,617,114
הרצלייה,2004,570,724,154
הרצלייה,2005,674,840,166
הרצלייה,2006,742,908,166
הרצלייה,2007,815,985,170
הרצלייה,2008,622,765,143
הרצלייה,2009,834,1004,170
הרצלייה,2010,728,954,226
הרצלייה,2011,575,711,136
הרצלייה,2012,692,840,148
הרצלייה,2013,737,915,178
הרצלייה,2014,676,840,164
הרצלייה,2015,782,945,163
הרצלייה,2016,798,1008,210
הרצלייה,2017,686,871,185
הרצלייה,2018,879,1169,290
הרצלייה,2019,869,1063,194
הרצלייה,2020,845,1066,221
הרצלייה,2021,1427,1781,354
הרצלייה,2022,925,1140,215
הרצלייה,2023,620,756,136
הרצלייה,2024,408,527,119
חדרה,1998,247,247,0
חדרה,1999,229,229,0
חדרה,2000,194,194,0
חדרה,2001,202,202,0
חדרה,2002,211,211,0
חדרה,2003,263,263,0
חדרה,2004,277,277,0
חדרה,2005,283,283,0
חדרה,2006,356,356,0
חדרה,2007,529,529,0
חדרה,2008,692,692,0
חדרה,2009,639,639,0
חדרה,2010,707,707,0
חדרה,2011,619,619,0
חדרה,2012,693,693,0
חדרה,2013,831,831,0
חדרה,2014,783,783,0
חדרה,2015,1138,1138,0
חדרה,2016,1404,1404,0
חדרה,2017,1016,1016,0
חדרה,2018,1062,1062,0
חדרה,2019,983,983,0
חדרה,2020,1009,1009,0
חדרה,2021,1707,1707,0
חדרה,2022,1060,1060,0
חדרה,2023,682,682,0
חדרה,2024,540,540,0
חולון,1998,846,743,-103
חולון,1999,972,835,-137
חולון,2000,903,796,-107
חולון,2001,967,829,-138
חולון,2002,1026,895,-131
חולון,2003,1013,872,-141
חולון,2004,950,822,-128
חולון,2005,1030,890,-140
חולון,2006,1203,1068,-135
חולון,2007,1814,1597,-217
חולון,2008,1594,1421,-173
חולון,2009,1488,1345,-143
חולון,2010,1308,1165,-143
חולון,2011,1081,965,-116
חולון,2012,1440,1300,-140
חולון,2013,1590,1413,-177
חולון,2014,1425,1271,-154
חולון,2015,1724,1557,-167
חולון,2016,1862,1509,-353
חולון,2017,1503,1262,-241
חולון,2018,1554,1357,-197
חולון,2019,1683,1497,-186
חולון,2020,1498,1306,-192
חולון,2021,2276,2005,-271
חולון,2022,1731,1519,-212
חולון,2023,1052,909,-143
חולון,2024,819,720,-99
חיפה,1998,1034,887,-147
חיפה,1999,1140,976,-164
חיפה,2000,1025,903,-122
חיפה,2001,989,838,-151
חיפה,2002,990,847,-143
חיפה,2003,1075,944,-131
חיפה,2004,1023,896,-127
חיפה,2005,1100,937,-163
חיפה,2006,964,855,-109
חיפה,2007,1560,1327,-233
חיפה,2008,2054,1782,-272
חיפה,2009,2532,2199,-333
חיפה,2010,2341,2062,-279
חיפה,2011,2149,1875,-274
חיפה,2012,2607,2240,-367
חיפה,2013,2710,2412,-298
חיפה,2014,2701,2329,-372
חיפה,2015,2822,2414,-408
חיפה,2016,2976,2538,-438
חיפה,2017,2981,2488,-493
חיפה,2018,2923,2456,-467
חיפה,2019,3164,2640,-524
חיפה,2020,3140,2646,-494
חיפה,2021,5028,4324,-704
חיפה,2022,5024,4305,-719
חיפה,2023,3920,3365,-555
חיפה,2024,2499,2199,-300
חיפה,2027,1,1,0
ירושלים,1998,975,981,6
ירושלים,1999,1358,1359,1
ירושלים,2000,1031,1032,1
ירושלים,2001,1144,1148,4
ירושלים,2002,1208,1209,1
ירושלים,2003,1323,1324,1
ירושלים,2004,1680,1693,13
ירושלים,2005,1605,1608,3
ירושלים,2006,1428,1433,5
ירושלים,2007,2361,2367,6
ירושלים,2008,2130,2138,8
ירושלים,2009,2498,2508,10
ירושלים,2010,2589,2601,12
ירושלים,2011,2270,2274,4
ירושלים,2012,2859,2868,9
ירושלים,2013,3416,3421,5
ירושלים,2014,2834,2844,10
ירושלים,2015,3406,3418,12
ירושלים,2016,3247,3255,8
ירושלים,2017,2729,2734,5
ירושלים,2018,2996,3008,12
ירושלים,2019,3028,3037,9
ירושלים,2020,3021,3031,10
ירושלים,2021,4755,4769,14
ירושלים,2022,4063,4076,13
ירושלים,2023,3186,3194,8
ירושלים,2024,2364,2371,7
כפר סבא,1998,342,402,60
כפר סבא,1999,417,504,87
כפר סבא,2000,421,511,90
כפר סבא,2001,394,460,66
כפר סבא,2002,400,480,80
כפר סבא,2003,279,324,45
כפר סבא,2004,361,398,37
כפר סבא,2005,464,531,67
כפר סבא,2006,517,620,103
כפר סבא,2007,718,855,137
כפר סבא,2008,656,783,127
כפר סבא,2009,871,1118,247
כפר סבא,2010,785,991,206
כפר סבא,2011,576,692,116
כפר סבא,2012,789,899,110
כפר סבא,2013,884,1061,177
כפר סבא,2014,749,916,167
כפר סבא,2015,918,1108,190
כפר סבא,2016,806,892,86
כפר סבא,2017,625,767,142
כפר סבא,2018,685,809,124
כפר סבא,2019,727,875,148
כפר סבא,2020,744,858,114
כפר סבא,2021,1240,1372,132
כפר סבא,2022,755,879,124
כפר סבא,2023,553,648,95
כפר סבא,2024,399,461,62
כפר סבא,2026,1,1,0
מודיעין-מכבים-רעות,1998,132,85,-47
מודיעין-מכבים-רעות,1999,116,93,-23
מודיעין-מכבים-רעות,2000,84,62,-22
מודיעין-מכבים-רעות,2001,108,80,-28
מודיעין-מכבים-רעות,2002,225,181,-44
מודיעין-מכבים-רעות,2003,218,157,-61
מודיעין-מכבים-רעות,2004,229,146,-83
מודיעין-מכבים-רעות,2005,178,130,-48
מודיעין-מכבים-רעות,2006,224,144,-80
מודיעין-מכבים-רעות,2007,708,524,-184
מודיעין-מכבים-רעות,2008,616,449,-167
מודיעין-מכבים-רעות,2009,865,641,-224
מודיעין-מכבים-רעות,2010,893,677,-216
מודיעין-מכבים-רעות,2011,532,401,-131
מודיעין-מכבים-רעות,2012,727,508,-219
מודיעין-מכבים-רעות,2013,851,615,-236
מודיעין-מכבים-רעות,2014,763,524,-239
מודיעין-מכבים-רעות,2015,878,620,-258
מודיעין-מכבים-רעות,2016,732,519,-213
מודיעין-מכבים-רעות,2017,524,392,-132
מודיעין-מכבים-רעות,2018,648,475,-173
מודיעין-מכבים-רעות,2019,784,594,-190
מודיעין-מכבים-רעות,2020,790,577,-213
מודיעין-מכבים-רעות,2021,1236,908,-328
מודיעין-מכבים-רעות,2022,686,486,-200
מודיעין-מכבים-רעות,2023,449,334,-115
מודיעין-מכבים-רעות,2024,324,232,-92
נתניה,1998,726,559,-167
נתניה,1999,908,735,-173
נתניה,2000,735,617,-118
נתניה,2001,981,815,-166
נתניה,2002,1137,865,-272
נתניה,2003,1084,898,-186
נתניה,2004,1155,1001,-154
נתניה,2005,1441,1208,-233
נתניה,2006,1414,1222,-192
נתניה,2007,1909,1622,-287
נתניה,2008,1908,1431,-477
נתניה,2009,1881,1499,-382
נתניה,2010,1936,1504,-432
נתניה,2011,1661,1341,-320
נתניה,2012,1964,1596,-368
נתניה,2013,2179,1741,-438
נתניה,2014,2063,1677,-386
נתניה,2015,2395,1987,-408
נתניה,2016,2188,1684,-504
נתניה,2017,1688,1333,-355
נתניה,2018,1653,1273,-380
נתניה,2019,1838,1506,-332
נתניה,2020,1899,1494,-405
נתניה,2021,3405,2803,-602
נתניה,2022,2746,2394,-352
נתניה,2023,1521,1281,-240
נתניה,2024,1056,878,-178
פתח תקווה,1998,923,767,-156
פתח תקווה,1999,796,652,-144
פתח תקווה,2000,596,493,-103
פתח תקווה,2001,653,532,-121
פתח תקווה,2002,837,716,-121
פתח תקווה,2003,735,623,-112
פתח תקווה,2004,820,657,-163
פתח תקווה,2005,1047,842,-205
פתח תקווה,2006,1259,1013,-246
פתח תקווה,2007,2191,1764,-427
פתח תקווה,2008,2125,1755,-370
פתח תקווה,2009,2208,1797,-411
פתח תקווה,2010,2452,1987,-465
פתח תקווה,2011,1745,1385,-360
פתח תקווה,2012,2200,1748,-452
פתח תקווה,2013,2562,2150,-412
פתח תקווה,2014,2186,1838,-348
פתח תקווה,2015,2681,2269,-412
פתח תקווה,2016,2314,1960,-354
פתח תקווה,2017,2070,1727,-343
פתח תקווה,2018,2134,1787,-347
פתח תקווה,2019,2441,2056,-385
פתח תקווה,2020,2219,1830,-389
פתח תקווה,2021,3580,2949,-631
פתח תקווה,2022,2860,2419,-441
פתח תקווה,2023,2041,1723,-318
פתח תקווה,2024,1732,1464,-268
פתח תקווה,2027,1,1,0
ראשון לציון,1998,773,835,62
ראשון לציון,1999,961,1043,82
ראשון לציון,2000,917,1053,136
ראשון לציון,2001,1069,1213,144
ראשון לציון,2002,1148,1326,178
ראשון לציון,2003,1057,1190,133
ראשון לציון,2004,971,1094,123
ראשון לציון,2005,754,842,88
ראשון לציון,2006,635,701,66
ראשון לציון,2007,1859,2061,202
ראשון לציון,2008,1672,1859,187
ראשון לציון,2009,1750,1978,228
ראשון לציון,2010,1823,2013,190
ראשון לציון,2011,1568,1720,152
ראשון לציון,2012,1855,2028,173
ראשון לציון,2013,2064,2258,194
ראשון לציון,2014,1951,2155,204
ראשון לציון,2015,2007,2210,203
ראשון לציון,2016,1985,2182,197
ראשון לציון,2017,1659,1825,166
ראשון לציון,2018,1883,2060,177
ראשון לציון,2019,1775,1937,162
ראשון לציון,2020,1881,2056,175
ראשון לציון,2021,2694,2978,284
ראשון לציון,2022,1953,2142,189
ראשון לציון,2023,1165,1276,111
ראשון לציון,2024,901,994,93
רחובות,1998,337,198,-139
רחובות,1999,381,225,-156
רחובות,2000,330,199,-131
רחובות,2001,367,221,-146
רחובות,2002,456,269,-187
רחובות,2003,395,230,-165
