year,old_current_data,odata_all_cities,odata_minus_old
1998,12049,16265,4216
1999,14156,19706,5550
2000,12141,16775,4634
2001,13270,18447,5177
2002,14990,20064,5074
2003,14600,19956,5356
2004,16166,22088,5922
2005,16691,22693,6002
2006,17363,23801,6438
2007,26778,37083,10305
2008,25025,35412,10387
2009,27480,40348,12868
2010,28736,43916,15180
2011,24434,36617,12183
2012,30242,46060,15818
2013,34321,52270,17949
2014,31209,48288,17079
2015,36924,57430,20506
2016,34873,54897,20024
2017,29989,47425,17436
2018,31839,50158,18319
2019,34165,53249,19084
2020,34026,53625,19599
2021,54777,86439,31662
2022,43806,69850,26044
2023,29872,46188,16316
2024,21947,33719,11772
2025,2,2,0
2026,3,3,0
2027,2,2,0
2030,0,2,2
