match_definition,city,_property_key,rows,unique_sale_dates,first_date,last_date
parcel_address,אשדוד,"אשדוד|182-108|נחמן מברסלב, אשדוד",105,35,1998-06-29,2015-12-14
parcel_address,אשדוד,"אשדוד|2002-101|אמרלד, אשדוד",2,2,2010-11-24,2015-06-11
parcel_address,אשדוד,"אשדוד|2002-105|אמרלד, אשדוד",2,2,2007-10-10,2018-01-11
parcel_address,אשדוד,"אשדוד|2002-110|אמרלד, אשדוד",2,2,2007-10-21,2018-03-04
parcel_address,אשדוד,"אשדוד|2002-129|אמרלד, אשדוד",2,2,2007-06-24,2020-11-05
parcel_address,אשדוד,"אשדוד|2002-139|אמרלד, אשדוד",2,2,2006-12-27,2011-06-30
parcel_address,אשדוד,"אשדוד|2002-171|פטדה, אשדוד",8,4,2008-02-25,2010-01-18
parcel_address,אשדוד,"אשדוד|2002-174|פטדה, אשדוד",6,3,2015-11-25,2023-05-10
parcel_address,אשדוד,"אשדוד|2002-179|לשם, אשדוד",9,3,2009-01-22,2023-11-28
parcel_address,אשדוד,"אשדוד|2002-180|לשם, אשדוד",9,3,2008-08-13,2018-10-15
parcel_address,אשדוד,"אשדוד|2002-182|לשם, אשדוד",6,2,2008-07-15,2017-09-14
parcel_address,אשדוד,"אשדוד|2002-194|לשם, אשדוד",6,2,2010-10-26,2018-09-17
parcel_address,אשדוד,"אשדוד|2002-201|תרשיש, אשדוד",4,2,2019-12-16,2023-03-22
parcel_address,אשדוד,"אשדוד|2002-205|תרשיש, אשדוד",4,2,2015-07-06,2022-09-07
parcel_address,אשדוד,"אשדוד|2002-216|תרשיש, אשדוד",6,3,2010-10-24,2023-02-08
parcel_address,אשדוד,"אשדוד|2002-65|אופל, אשדוד",2,2,2008-02-27,2014-11-10
parcel_address,אשדוד,"אשדוד|2002-66|אופל, אשדוד",3,3,2008-02-05,2014-04-30
parcel_address,אשדוד,"אשדוד|2002-67|אופל, אשדוד",3,3,2008-01-31,2015-03-18
parcel_address,אשדוד,"אשדוד|2002-73|אופל, אשדוד",2,2,2008-03-13,2023-03-22
parcel_address,אשדוד,"אשדוד|2002-76|אופל, אשדוד",2,2,2008-01-10,2015-10-28
parcel_address,אשדוד,"אשדוד|2002-77|אופל, אשדוד",2,2,2008-01-09,2015-12-20
parcel_address,אשדוד,"אשדוד|2002-83|אופל, אשדוד",2,2,2011-11-28,2014-02-17
parcel_address,אשדוד,"אשדוד|2002-86|אופל, אשדוד",2,2,2007-10-07,2013-10-22
