match_definition,city,_property_key,rows,unique_sale_dates,first_date,last_date
parcel_street,אשדוד,אשדוד|182-108|נחמן מברסלב,105,35,1998-06-29,2015-12-14
parcel_street,אשדוד,אשדוד|2002-101|אמרלד,2,2,2010-11-24,2015-06-11
parcel_street,אשדוד,אשדוד|2002-105|אמרלד,2,2,2007-10-10,2018-01-11
parcel_street,אשדוד,אשדוד|2002-110|אמרלד,2,2,2007-10-21,2018-03-04
parcel_street,אשדוד,אשדוד|2002-129|אמרלד,2,2,2007-06-24,2020-11-05
parcel_street,אשדוד,אשדוד|2002-139|אמרלד,2,2,2006-12-27,2011-06-30
parcel_street,אשדוד,אשדוד|2002-171|פטדה,8,4,2008-02-25,2010-01-18
parcel_street,אשדוד,אשדוד|2002-174|פטדה,6,3,2015-11-25,2023-05-10
parcel_street,אשדוד,אשדוד|2002-179|לשם,9,3,2009-01-22,2023-11-28
parcel_street,אשדוד,אשדוד|2002-180|לשם,9,3,2008-08-13,2018-10-15
parcel_street,אשדוד,אשדוד|2002-182|לשם,6,2,2008-07-15,2017-09-14
parcel_street,אשדוד,אשדוד|2002-194|לשם,6,2,2010-10-26,2018-09-17
parcel_street,אשדוד,אשדוד|2002-201|תרשיש,4,2,2019-12-16,2023-03-22
parcel_street,אשדוד,אשדוד|2002-205|תרשיש,4,2,2015-07-06,2022-09-07
parcel_street,אשדוד,אשדוד|2002-216|תרשיש,6,3,2010-10-24,2023-02-08
parcel_street,אשדוד,אשדוד|2002-65|אופל,2,2,2008-02-27,2014-11-10
parcel_street,אשדוד,אשדוד|2002-66|אופל,3,3,2008-02-05,2014-04-30
parcel_street,אשדוד,אשדוד|2002-67|אופל,3,3,2008-01-31,2015-03-18
parcel_street,אשדוד,אשדוד|2002-73|אופל,2,2,2008-03-13,2023-03-22
parcel_street,אשדוד,אשדוד|2002-76|אופל,2,2,2008-01-10,2015-10-28
parcel_street,אשדוד,אשדוד|2002-77|אופל,2,2,2008-01-09,2015-12-20
parcel_street,אשדוד,אשדוד|2002-83|אופל,2,2,2011-11-28,2014-02-17
parcel_street,אשדוד,אשדוד|2002-86|אופל,2,2,2007-10-07,2013-10-22
parcel_street,אשדוד,אשדוד|2002-91|אופל,3,3,2007-08-22,2024-05-22
parcel_street,אשדוד,אשדוד|2002-94|אופל,2,2,2007-08-02,2015-11-18
parcel_street,אשדוד,אשדוד|2002-96|אופל,2,2,2010-12-16,2018-03-28
parcel_street,אשדוד,אשדוד|2002-97|אמרלד,2,2,2014-01-02,2022-02-01
parcel_street,אשדוד,אשדוד|2002-98|אמרלד,2,2,2008-08-12,2012-09-05
parcel_street,אשדוד,אשדוד|2003-61|ברקת,17,17,2008-04-15,2024-08-25
parcel_street,אשדוד,אשדוד|2003-81|גביש,3,3,2015-08-03,2021-12-15
parcel_street,אשדוד,אשדוד|2003-87|גביש,3,3,2016-01-18,2023-09-13
parcel_street,אשדוד,אשדוד|2003-88|גביש,2,2,2017-09-16,2017-09-17
parcel_street,אשדוד,אשדוד|2003-90|גביש,2,2,2018-10-16,2019-04-17
parcel_street,אשדוד,אשדוד|2003-91|גביש,2,2,2018-10-16,2021-07-08
parcel_street,אשדוד,אשדוד|2003-98|נופך,6,2,2011-03-23,2018-02-21
parcel_street,אשדוד,אשדוד|2023-16|רב ינאי,144,72,1998-03-01,2024-01-09
parcel_street,אשדוד,אשדוד|2023-19|רב ינאי,204,89,2015-06-20,2024-02-18
parcel_street,אשדוד,אשדוד|2023-20|רב ינאי,12,6,2008-02-06,2022-08-17
parcel_street,אשדוד,אשדוד|2023-21|רב ינאי,64,32,1998-12-27,2024-01-31
parcel_street,אשדוד,אשדוד|2023-75|רבא,100,48,2002-04-25,2024-07-06
parcel_street,אשדוד,אשדוד|2023-76|רבי יהודה הנשיא,12,6,1998-11-30,2013-06-19
parcel_street,אשדוד,אשדוד|2023-77|רב חיסדא,12,6,1998-12-07,2022-02-19
parcel_street,אשדוד,אשדוד|2023-77|רבי יהודה הנשיא,10,5,2015-01-08,2023-02-27
parcel_street,אשדוד,אשדוד|2023-78|רבא,32,16,1999-06-22,2024-01-16
parcel_street,אשדוד,אשדוד|2023-79|רב חיסדא,48,24,1999-04-14,2023-04-03
parcel_street,אשדוד,אשדוד|2023-83|רבי טרפון,32,15,2004-05-16,2023-12-24
parcel_street,אשדוד,"אשדוד|2023-83|רשב""י",68,34,2007-11-18,2024-06-23
parcel_street,אשדוד,"אשדוד|2023-84|רשב""י",148,73,1998-01-01,2021-08-25
parcel_street,אשדוד,אשדוד|2023-85|רב ינאי,84,41,1998-08-05,2021-10-05
parcel_street,אשדוד,אשדוד|2026-14|המתכת,5,5,2003-09-14,2013-12-15
parcel_street,אשדוד,אשדוד|2026-28|הבטיחות,2,2,2012-11-29,2015-05-25
parcel_street,אשדוד,אשדוד|2026-2|הפלדה,24,24,2006-02-28,2023-03-14
parcel_street,אשדוד,אשדוד|2027-10|הפלדה,3,3,1999-02-25,2011-09-25
parcel_street,אשדוד,אשדוד|2028-27|המתכת,2,2,2007-06-10,2009-02-15
parcel_street,אשדוד,אשדוד|2029-14|האשלג,2,2,2011-11-29,2011-12-30
parcel_street,אשדוד,אשדוד|2029-29|המדע,2,2,1999-08-18,2013-02-14
parcel_street,אשדוד,אשדוד|2029-30|המדע,53,36,1998-06-23,2023-12-17
parcel_street,אשדוד,אשדוד|2029-7|המתכת,3,3,2007-08-05,2008-08-24
parcel_street,אשדוד,אשדוד|2029-8|המתכת,2,2,2003-12-31,2012-04-30
parcel_street,אשדוד,"אשדוד|2061-100|האצ""ל",8,8,2000-12-07,2019-12-03
parcel_street,אשדוד,"אשדוד|2061-101|האצ""ל",12,12,1999-03-24,2020-09-02
parcel_street,אשדוד,אשדוד|2061-114|קדושי בלזן,4,2,2021-11-30,2022-12-13
parcel_street,אשדוד,אשדוד|2061-117|בובר מרטין,2,2,2000-04-14,2018-06-06
parcel_street,אשדוד,אשדוד|2061-118|בובר מרטין,3,3,2009-08-25,2018-01-31
parcel_street,אשדוד,אשדוד|2061-121|בובר מרטין,2,2,2009-10-08,2015-11-25
parcel_street,אשדוד,אשדוד|2061-123|בובר מרטין,3,3,2012-04-02,2021-07-25
parcel_street,אשדוד,אשדוד|2061-125|בובר מרטין,2,2,1999-08-04,2022-03-24
parcel_street,אשדוד,אשדוד|2061-126|בובר מרטין,2,2,2018-12-05,2022-09-14
parcel_street,אשדוד,אשדוד|2061-127|הטיילת,203,198,1998-01-26,2024-06-04
parcel_street,אשדוד,אשדוד|2061-130|סילבר אבא הלל,28,14,2002-06-23,2024-03-10
parcel_street,אשדוד,אשדוד|2061-131|סילבר אבא הלל,22,11,1998-10-26,2024-01-10
parcel_street,אשדוד,אשדוד|2061-132|סילבר אבא הלל,18,9,1998-08-21,2022-01-06
parcel_street,אשדוד,"אשדוד|2061-133|האצ""ל",20,20,1998-01-11,2023-12-14
parcel_street,אשדוד,"אשדוד|2061-135|האצ""ל",8,8,1998-01-02,2020-12-17
parcel_street,אשדוד,"אשדוד|2061-136|האצ""ל",31,30,2000-05-28,2024-02-13
parcel_street,אשדוד,אשדוד|2061-137|נורדאו,15,5,2014-07-03,2022-09-20
parcel_street,אשדוד,אשדוד|2061-138|הרב הגר,10,10,1998-09-17,2023-05-11
parcel_street,אשדוד,אשדוד|2061-139|הטיילת,92,91,2000-06-06,2024-07-15
parcel_street,אשדוד,אשדוד|2061-141|הטיילת,85,79,2009-09-09,2023-06-28
parcel_street,אשדוד,אשדוד|2061-16|ז'בוטינסקי,14,14,2001-05-16,2019-09-09
parcel_street,אשדוד,אשדוד|2061-22|סילבר אבא הלל,4,2,1998-11-10,2007-09-03
parcel_street,אשדוד,אשדוד|2061-30|נורדאו,345,115,1998-11-29,2023-07-24
parcel_street,אשדוד,אשדוד|2061-50|קדושי בלזן,4,2,2009-04-19,2022-07-03
parcel_street,אשדוד,אשדוד|2061-51|קדושי בלזן,4,2,2015-02-05,2018-01-10
parcel_street,אשדוד,אשדוד|2061-55|סילבר אבא הלל,4,2,2007-03-01,2012-04-29
parcel_street,אשדוד,"אשדוד|2061-76|האצ""ל",19,19,1998-07-09,2023-12-19
parcel_street,אשדוד,אשדוד|2061-77|נורדאו,33,11,2005-11-03,2024-05-27
parcel_street,אשדוד,"אשדוד|2061-78|האצ""ל",13,13,2001-10-03,2023-05-17
parcel_street,אשדוד,אשדוד|2061-78|ז'בוטינסקי,11,11,2003-01-02,2024-06-04
parcel_street,אשדוד,אשדוד|2061-78|יאיר,7,7,2005-02-27,2023-01-10
parcel_street,אשדוד,"אשדוד|2061-79|האצ""ל",11,11,2001-06-07,2024-02-12
parcel_street,אשדוד,אשדוד|2061-79|יאיר,20,20,1999-08-01,2024-09-02
parcel_street,אשדוד,"אשדוד|2061-80|האצ""ל",8,8,2002-08-11,2022-01-19
parcel_street,אשדוד,אשדוד|2061-88|נורדאו,18,5,2001-05-08,2020-08-27
parcel_street,אשדוד,אשדוד|2061-90|נורדאו,63,18,2014-10-19,2023-03-21
parcel_street,אשדוד,אשדוד|2061-91|קדושי בלזן,48,24,1999-11-14,2024-02-18
parcel_street,אשדוד,אשדוד|2061-96|נורדאו,30,10,2000-09-04,2019-08-25
parcel_street,אשדוד,אשדוד|2061-97|נורדאו,39,13,2003-06-01,2022-03-07
parcel_street,אשדוד,אשדוד|2062-20|הבנאים,17,17,2008-06-16,2023-08-26
parcel_street,אשדוד,אשדוד|2062-27|התקשורת,13,10,2000-12-07,2021-12-12
parcel_street,אשדוד,אשדוד|2062-28|התקשורת,22,20,2013-10-14,2024-02-14
parcel_street,אשדוד,אשדוד|2062-30|הבנאים,8,8,1998-08-16,2023-11-15
parcel_street,אשדוד,אשדוד|2062-31|האורגים,4,4,2016-03-14,2021-05-31
parcel_street,אשדוד,אשדוד|2062-35|הבנאים,17,17,1999-05-09,2020-01-09
parcel_street,אשדוד,אשדוד|2062-39|הבנאים,12,10,2001-07-22,2017-12-28
parcel_street,אשדוד,אשדוד|2062-41|האורגים,2,2,1998-01-13,2003-05-08
parcel_street,אשדוד,אשדוד|2062-42|האורגים,2,2,2007-09-10,2015-06-24
parcel_street,אשדוד,אשדוד|2062-45|האורגים,18,16,1999-12-08,2023-02-02
parcel_street,אשדוד,אשדוד|2062-48|התקשורת,8,8,2009-08-24,2019-11-30
parcel_street,אשדוד,אשדוד|2062-49|האורגים,17,17,1998-04-01,2022-12-13
parcel_street,אשדוד,אשדוד|2062-50|הבנאים,24,23,1998-01-14,2024-02-07
parcel_street,אשדוד,אשדוד|2062-56|האורגים,22,21,2003-05-26,2024-03-03
parcel_street,אשדוד,אשדוד|2062-57|הבנאים,3,3,2010-02-02,2016-01-05
parcel_street,אשדוד,אשדוד|2062-61|האורגים,2,2,2004-05-19,2007-02-26
parcel_street,אשדוד,אשדוד|2062-65|האורגים,15,8,2000-05-04,2023-05-01
parcel_street,אשדוד,אשדוד|2062-67|האורגים,171,131,2010-04-20,2024-06-06
parcel_street,אשדוד,אשדוד|2062-92|האורגים,2,2,2023-06-25,2024-02-19
parcel_street,אשדוד,אשדוד|2064-23|העבודה,5,5,2013-10-08,2017-08-07
parcel_street,אשדוד,אשדוד|2064-25|העבודה,2,2,2016-08-16,2018-09-05
parcel_street,אשדוד,אשדוד|2066-110|בארי,3,3,1999-10-21,2017-12-20
parcel_street,אשדוד,אשדוד|2066-114|שבי ציון,54,27,2000-03-16,2023-08-21
parcel_street,אשדוד,אשדוד|2066-115|שבי ציון,112,55,1998-01-19,2024-03-20
parcel_street,אשדוד,אשדוד|2066-116|המעפילים,69,69,2000-06-12,2024-05-16
parcel_street,אשדוד,אשדוד|2066-116|הרב קוק,2,2,2020-08-13,2020-09-06
parcel_street,אשדוד,אשדוד|2066-117|יוספטל,123,40,1998-10-28,2024-07-08
parcel_street,אשדוד,אשדוד|2066-122|הרב קוק,3,3,1999-03-09,2019-05-23
parcel_street,אשדוד,אשדוד|2066-12|ילין דוד,9,3,2016-03-03,2022-09-14
parcel_street,אשדוד,אשדוד|2066-130|הרב קוק,14,14,1998-08-16,2022-03-20
parcel_street,אשדוד,"אשדוד|2066-133|רמב""ם",58,29,2007-05-17,2023-09-11
parcel_street,אשדוד,אשדוד|2066-135|הרב קוק,24,24,1998-10-23,2024-06-05
parcel_street,אשדוד,אשדוד|2066-13|יוספטל,12,4,2003-01-19,2022-03-13
parcel_street,אשדוד,אשדוד|2066-14|יוספטל,15,5,1998-10-08,2015-03-01
parcel_street,אשדוד,אשדוד|2066-15|יוספטל,24,8,2007-12-25,2021-10-25
parcel_street,אשדוד,אשדוד|2066-16|יוספטל,9,3,2013-09-17,2024-03-28
parcel_street,אשדוד,אשדוד|2066-170|יורדי הסירה,6,2,2007-03-29,2009-05-12
parcel_street,אשדוד,אשדוד|2066-175|המעפילים,13,13,2006-05-29,2022-10-19
parcel_street,אשדוד,אשדוד|2066-176|המעפילים,12,12,2001-05-08,2023-11-30
parcel_street,אשדוד,אשדוד|2066-177|המעפילים,17,17,2007-04-17,2021-12-14
parcel_street,אשדוד,אשדוד|2066-178|יורדי הסירה,42,14,2001-11-23,2022-08-09
parcel_street,אשדוד,אשדוד|2066-179|יורדי הסירה,51,17,1998-12-14,2023-12-27
parcel_street,אשדוד,אשדוד|2066-17|יוספטל,12,4,2008-01-11,2021-01-28
parcel_street,אשדוד,אשדוד|2066-180|יורדי הסירה,42,14,1998-11-18,2019-07-17
parcel_street,אשדוד,אשדוד|2066-181|יורדי הסירה,30,10,2008-09-05,2021-05-30
parcel_street,אשדוד,אשדוד|2066-183|יורדי הסירה,36,12,2001-06-03,2024-05-12
parcel_street,אשדוד,אשדוד|2066-184|קבוץ גלויות,26,13,1999-01-21,2024-04-15
parcel_street,אשדוד,אשדוד|2066-18|יוספטל,12,4,2018-11-11,2022-12-25
parcel_street,אשדוד,אשדוד|2066-19|יצחק שדה,15,5,2006-03-20,2023-05-30
parcel_street,אשדוד,אשדוד|2066-209|הרב קוק,11,10,1999-05-16,2023-01-23
parcel_street,אשדוד,אשדוד|2066-20|יצחק שדה,18,6,1999-01-31,2017-02-08
parcel_street,אשדוד,אשדוד|2066-210|הרב קוק,8,8,1999-08-02,2024-06-17
parcel_street,אשדוד,אשדוד|2066-211|הרב קוק,12,12,2005-09-18,2024-07-18
parcel_street,אשדוד,אשדוד|2066-213|הרב קוק,26,26,1999-06-14,2023-10-26
parcel_street,אשדוד,אשדוד|2066-214|הרב קוק,31,31,1999-05-04,2024-03-04
parcel_street,אשדוד,אשדוד|2066-216|אבן גבירול,9,9,2022-02-16,2024-07-15
parcel_street,אשדוד,אשדוד|2066-216|הרב קוק,56,54,1999-03-28,2024-08-15
parcel_street,אשדוד,אשדוד|2066-217|הרב קוק,21,21,1998-12-16,2024-02-26
parcel_street,אשדוד,אשדוד|2066-224|הרב קוק,26,26,2003-05-26,2022-10-02
parcel_street,אשדוד,אשדוד|2066-225|יוספטל,30,10,2000-01-04,2022-09-01
parcel_street,אשדוד,אשדוד|2066-229|המעפילים,17,17,1998-12-27,2019-12-02
parcel_street,אשדוד,אשדוד|2066-22|ילין דוד,30,10,1998-09-17,2022-05-17
parcel_street,אשדוד,אשדוד|2066-230|המעפילים,20,20,1998-12-03,2022-01-13
parcel_street,אשדוד,אשדוד|2066-231|המעפילים,17,17,1998-10-19,2022-11-15
parcel_street,אשדוד,אשדוד|2066-232|המעפילים,9,9,1998-11-22,2024-07-22
parcel_street,אשדוד,אשדוד|2066-233|המעפילים,15,15,1998-12-16,2023-07-27
parcel_street,אשדוד,אשדוד|2066-234|המעפילים,17,17,1998-10-25,2023-09-19
parcel_street,אשדוד,אשדוד|2066-235|הרב קוק,23,22,2003-11-13,2022-11-23
parcel_street,אשדוד,אשדוד|2066-236|הרב קוק,12,12,1999-02-10,2022-09-11
parcel_street,אשדוד,אשדוד|2066-237|הרב קוק,19,19,1999-04-20,2024-05-28
parcel_street,אשדוד,אשדוד|2066-23|ילין דוד,6,2,2020-03-05,2022-01-19
parcel_street,אשדוד,אשדוד|2066-266|יוספטל,60,20,1999-05-05,2023-12-22
parcel_street,אשדוד,אשדוד|2066-267|הרב קוק,25,25,1998-10-27,2024-04-19
parcel_street,אשדוד,אשדוד|2066-268|הרב קוק,20,20,2008-04-03,2022-08-11
parcel_street,אשדוד,אשדוד|2066-269|אבן גבירול,3,3,2022-03-01,2023-05-03
parcel_street,אשדוד,אשדוד|2066-270|יוספטל,63,21,1998-12-23,2024-05-31
parcel_street,אשדוד,אשדוד|2066-273|אבן גבירול,4,4,2022-04-13,2024-03-14
parcel_street,אשדוד,אשדוד|2066-274|אבן גבירול,2,2,2022-06-14,2023-08-13
parcel_street,אשדוד,אשדוד|2066-275|אבן גבירול,2,2,2023-08-01,2024-03-22
parcel_street,אשדוד,אשדוד|2066-276|אבן גבירול,2,2,2021-09-12,2022-02-21
parcel_street,אשדוד,אשדוד|2066-278|מקלנבורג,36,12,2008-02-25,2021-06-22
parcel_street,אשדוד,אשדוד|2066-280|מקלנבורג,36,12,1999-01-11,2022-08-02
parcel_street,אשדוד,אשדוד|2066-281|אבן גבירול,2,2,2022-09-04,2022-09-28
parcel_street,אשדוד,אשדוד|2066-282|מקלנבורג,27,9,2008-11-09,2022-03-28
parcel_street,אשדוד,אשדוד|2066-283|מקלנבורג,30,10,1999-06-24,2024-08-28
parcel_street,אשדוד,אשדוד|2066-285|אבן גבירול,6,6,2021-07-07,2023-03-12
parcel_street,אשדוד,אשדוד|2066-28|אבן גבירול,2,2,2022-03-08,2022-07-03
parcel_street,אשדוד,אשדוד|2066-290|יצחק שדה,45,15,2006-01-19,2024-04-18
parcel_street,אשדוד,"אשדוד|2066-291|רמב""ם",24,12,2005-12-05,2022-07-26
parcel_street,אשדוד,"אשדוד|2066-292|רמב""ם",30,15,2003-01-02,2024-08-12
parcel_street,אשדוד,"אשדוד|2066-294|רמב""ם",20,10,1998-08-06,2021-10-03
parcel_street,אשדוד,"אשדוד|2066-296|רמב""ם",14,7,2008-11-20,2022-12-28
parcel_street,אשדוד,אשדוד|2066-307|הרב קוק,14,14,1999-08-15,2023-05-24
parcel_street,אשדוד,אשדוד|2066-318|סטרומה,45,15,2007-09-03,2022-06-23
parcel_street,אשדוד,אשדוד|2066-321|אגדיר,13,13,2001-09-06,2024-01-08
