match_definition,city,_property_key,rows,unique_sale_dates,first_date,last_date
parcel_unit_like,אשדוד,אשדוד|182-108|75.0||1.0|לא צויין סוג|1970.0,6,2,2000-07-11,2003-01-19
parcel_unit_like,אשדוד,אשדוד|182-108|75.0||2.0|לא צויין סוג|1970.0,6,2,1998-12-23,2000-04-18
parcel_unit_like,אשדוד,אשדוד|182-108|75.0||3.0|לא צויין סוג|1970.0,12,4,1998-10-27,2002-12-26
parcel_unit_like,אשדוד,אשדוד|182-108|75.0||4.0|לא צויין סוג|1970.0,9,3,1998-06-29,1999-01-31
parcel_unit_like,אשדוד,אשדוד|182-108|85.0||4.0|לא צויין סוג|1970.0,6,2,1998-11-04,2000-07-19
parcel_unit_like,אשדוד,אשדוד|2003-90|303.0|||מגורים|,2,2,2018-10-16,2019-04-17
parcel_unit_like,אשדוד,אשדוד|2003-91|300.0|||קרקע למגורים|,2,2,2018-10-16,2021-07-08
parcel_unit_like,אשדוד,אשדוד|2023-16|100.0||1.0|לא צויין סוג|2000.0,4,2,1999-05-25,2001-03-23
parcel_unit_like,אשדוד,אשדוד|2023-16|100.0||2.0|דירה בבית קומות|2000.0,10,5,2010-06-07,2021-12-19
parcel_unit_like,אשדוד,אשדוד|2023-16|100.0||3.0|דירה בבית קומות|2000.0,4,2,2007-05-28,2009-11-17
parcel_unit_like,אשדוד,אשדוד|2023-16|100.0||3.0|לא צויין סוג|2000.0,6,3,1998-05-24,1999-06-15
parcel_unit_like,אשדוד,אשדוד|2023-16|104.0||2.0|דירה בבית קומות|2000.0,4,2,2013-07-29,2021-02-25
parcel_unit_like,אשדוד,אשדוד|2023-16|104.0||3.0|דירה בבית קומות|2000.0,4,2,2021-12-30,2024-01-09
parcel_unit_like,אשדוד,אשדוד|2023-16|105.0||3.0|דירה בבית קומות|2000.0,4,2,2013-01-02,2021-02-07
parcel_unit_like,אשדוד,אשדוד|2023-16|110.0||1.0|דירה בבית קומות|2000.0,4,2,2004-01-19,2018-05-30
parcel_unit_like,אשדוד,אשדוד|2023-16|125.0||3.0|לא צויין סוג|2000.0,4,2,2000-03-26,2000-08-31
parcel_unit_like,אשדוד,אשדוד|2023-16|150.0||1.0|דירה בבית קומות|2000.0,6,3,2015-06-07,2018-07-05
parcel_unit_like,אשדוד,אשדוד|2023-16|90.0||2.0|דירה בבית קומות|2000.0,4,2,2011-09-20,2021-01-17
parcel_unit_like,אשדוד,אשדוד|2023-16|95.0||3.0|דירה בבית קומות|2000.0,4,2,2013-09-03,2017-12-14
parcel_unit_like,אשדוד,אשדוד|2023-19|81.0||4.0|דירה|2019.0,6,3,2015-06-20,2016-04-09
parcel_unit_like,אשדוד,אשדוד|2023-19|82.0||1.0|דירה בבית קומות|2019.0,6,3,2018-05-09,2023-05-23
parcel_unit_like,אשדוד,אשדוד|2023-19|86.0||6.0|דירה בבית קומות|2019.0,4,2,2018-01-29,2019-04-18
parcel_unit_like,אשדוד,אשדוד|2023-20|177.0||2.0|דירה בבית קומות|1970.0,4,2,2012-08-01,2013-11-14
parcel_unit_like,אשדוד,אשדוד|2023-21|70.0||1.0|דירה בבית קומות|1998.0,10,5,2011-03-06,2022-11-16
parcel_unit_like,אשדוד,אשדוד|2023-21|75.0||3.0|לא צויין סוג|1998.0,4,2,2000-04-17,2002-12-17
parcel_unit_like,אשדוד,אשדוד|2023-21|75.0||4.0|דירה בבית קומות|1998.0,4,2,2012-05-21,2012-09-04
parcel_unit_like,אשדוד,אשדוד|2023-21|88.0||1.0|דירה בבית קומות|1998.0,4,2,2015-02-09,2020-02-25
parcel_unit_like,אשדוד,אשדוד|2023-75|100.0||1.0|לא צויין סוג|2000.0,4,2,2002-04-25,2002-12-10
parcel_unit_like,אשדוד,אשדוד|2023-75|78.0||2.0|דירה בבית קומות|2000.0,4,2,2015-06-23,2022-11-14
parcel_unit_like,אשדוד,אשדוד|2023-75|78.0||3.0|דירה בבית קומות|2000.0,6,3,2016-10-31,2023-09-27
parcel_unit_like,אשדוד,אשדוד|2023-75|80.0||1.0|דירה בבית קומות|2000.0,4,2,2020-12-01,2022-04-24
parcel_unit_like,אשדוד,אשדוד|2023-75|80.0||2.0|דירה בבית קומות|2000.0,14,7,2004-12-12,2023-03-27
parcel_unit_like,אשדוד,אשדוד|2023-75|80.0||3.0|דירה בבית קומות|2000.0,6,3,2017-12-27,2024-04-17
parcel_unit_like,אשדוד,אשדוד|2023-75|81.0||1.0|דירה בבית קומות|2000.0,6,3,2019-10-24,2022-03-08
parcel_unit_like,אשדוד,אשדוד|2023-75|82.0||1.0|דירה בבית קומות|2000.0,4,2,2019-01-14,2020-07-12
parcel_unit_like,אשדוד,אשדוד|2023-76|116.73||1.0|לא צויין סוג|1999.0,4,2,1998-11-30,1999-08-02
parcel_unit_like,אשדוד,אשדוד|2023-78|100.0||8.0|דירה בבית קומות|1999.0,4,2,2007-06-18,2024-01-16
parcel_unit_like,אשדוד,אשדוד|2023-78|75.0|||לא צויין סוג|1999.0,4,2,1999-11-14,2001-08-07
parcel_unit_like,אשדוד,אשדוד|2023-83|71.7||0.0|דירה בבית קומות|2001.0,4,2,2009-08-02,2018-11-07
parcel_unit_like,אשדוד,אשדוד|2023-83|71.7||4.0|דירה בבית קומות|2001.0,6,3,2015-12-14,2023-05-11
parcel_unit_like,אשדוד,אשדוד|2023-83|71.7||5.0|דירה בבית קומות|2001.0,4,2,2013-01-20,2014-08-19
parcel_unit_like,אשדוד,אשדוד|2023-83|71.8||4.0|דירה בבית קומות|2001.0,4,2,2017-02-12,2020-12-15
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||1.0|דירה בבית קומות|1998.0,4,2,2003-09-07,2007-07-15
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||1.0|לא צויין סוג|1998.0,20,10,1998-05-14,2000-03-06
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||2.0|דירה בבית קומות|1998.0,8,4,2003-05-27,2011-02-13
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||2.0|לא צויין סוג|1998.0,14,7,1998-01-01,2002-10-30
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||3.0|דירה בבית קומות|1998.0,4,2,2007-12-24,2009-09-13
