raw_field,rows,present_rows,missing_rows,present_pct
assetroomno,1072778,0,1072778,0.0
buildingfloors,1072778,965007,107771,89.95
buildingyear,1072778,1056034,16744,98.44
city_name,1072778,1072778,0,100.0
dealamount,1072778,1072778,0,100.0
dealdate,1072778,1072778,0,100.0
dealdatetime,1072778,1072778,0,100.0
dealnature,1072778,1056975,15803,98.53
dealnaturedescription,1072778,972593,100185,90.66
displayaddress,1072778,0,1072778,0.0
floorno,1072778,964604,108174,89.92
fulladdress,1072778,0,1072778,0.0
gush,1072778,1072778,0,100.0
keyvalue,1072778,1072778,0,100.0
newprojectext,1072778,0,1072778,0.0
polygon_id,1072778,1072778,0,100.0
projectname,1072778,40612,1032166,3.79
row_num,1072778,1072778,0,100.0
street,1072778,1072778,0,100.0
type,1072778,1072778,0,100.0
yearbuilt,1072778,13737,1059041,1.28
