match_definition,city,GUSH,FULLADRESS,street,new_date,old_dates_for_property,price_millions,area,rooms,floor,apt type,New_Project,build_year,building age,build_floors,_property_key
parcel_unit_like,אשדוד,2071-253-113,"ארלוזורוב, אשדוד",ארלוזורוב,1998-04-19,1998-07-28;1999-06-15,0.447,75.0,,3.0,לא צויין סוג ,New Project,1999.0,-1.0,12.0,אשדוד|2071-253|75.0||3.0|לא צויין סוג|1999.0
parcel_unit_like,אשדוד,2023-16-72,"רב ינאי, אשדוד",רב ינאי,1998-05-24,1999-06-15,0.327,100.0,,3.0,לא צויין סוג ,New Project,2000.0,-2.0,4.0,אשדוד|2023-16|100.0||3.0|לא צויין סוג|2000.0
parcel_unit_like,אשדוד,2023-16-72,"רב ינאי, אשדוד",רב ינאי,1998-05-24,1999-06-15,0.327,100.0,,3.0,לא צויין סוג ,New Project,2000.0,-2.0,4.0,אשדוד|2023-16|100.0||3.0|לא צויין סוג|2000.0
parcel_unit_like,אשדוד,2071-253-109,"ארלוזורוב, אשדוד",ארלוזורוב,1998-10-25,1998-07-21,0.468,75.0,,6.0,לא צויין סוג ,New Project,1999.0,-1.0,12.0,אשדוד|2071-253|75.0||6.0|לא צויין סוג|1999.0
parcel_unit_like,אשדוד,2023-16-69,"רב ינאי, אשדוד",רב ינאי,1998-12-30,1999-06-15,0.437,100.0,,3.0,לא צויין סוג ,New Project,2000.0,-2.0,4.0,אשדוד|2023-16|100.0||3.0|לא צויין סוג|2000.0
parcel_unit_like,אשדוד,2023-16-69,"רב ינאי, אשדוד",רב ינאי,1998-12-30,1999-06-15,0.437,100.0,,3.0,לא צויין סוג ,New Project,2000.0,-2.0,4.0,אשדוד|2023-16|100.0||3.0|לא צויין סוג|2000.0
parcel_unit_like,אשדוד,2023-84-57,"רשב""י, אשדוד","רשב""י",2000-03-06,1998-05-14;1998-08-19;1998-09-28;1998-11-03;1998-12-22;1999-02-09;1999-02-24;1999-06-23;1999-06-29,0.561,100.0,,1.0,לא צויין סוג ,2nd hand,1998.0,2.0,4.0,אשדוד|2023-84|100.0||1.0|לא צויין סוג|1998.0
parcel_unit_like,אשדוד,2023-84-57,"רשב""י, אשדוד","רשב""י",2000-03-06,1998-05-14;1998-08-19;1998-09-28;1998-11-03;1998-12-22;1999-02-09;1999-02-24;1999-06-23;1999-06-29,0.561,100.0,,1.0,לא צויין סוג ,2nd hand,1998.0,2.0,4.0,אשדוד|2023-84|100.0||1.0|לא צויין סוג|1998.0
parcel_unit_like,אשדוד,2648-56-78,"וולפסון דוד, אשדוד",וולפסון דוד,2000-04-04,1998-04-03;1998-10-01;1999-03-30,0.517,100.0,,1.0,לא צויין סוג ,New Project,2000.0,0.0,11.0,אשדוד|2648-56|100.0||1.0|לא צויין סוג|2000.0
parcel_unit_like,אשדוד,2072-3-97,"הבנים, אשדוד",הבנים,2000-04-06,1998-01-06;1998-10-29;1999-05-10,0.652,100.0,,8.0,לא צויין סוג ,2nd hand,1999.0,1.0,13.0,אשדוד|2072-3|100.0||8.0|לא צויין סוג|1999.0
