city,year,candidate_rows
אשדוד,1998,6
אשדוד,2000,17
אשדוד,2001,5
אשדוד,2002,12
אשדוד,2003,11
אשקלון,2000,7
אשקלון,2001,4
אשקלון,2002,1
אשקלון,2021,1
באר שבע,1999,4
באר שבע,2000,4
באר שבע,2001,6
באר שבע,2002,3
באר שבע,2003,3
באר שבע,2010,1
באר שבע,2015,1
באר שבע,2016,2
באר שבע,2018,2
באר שבע,2019,2
באר שבע,2020,1
באר שבע,2021,6
באר שבע,2022,1
באר שבע,2023,3
באר שבע,2024,1
בית שמש,2000,2
בית שמש,2002,1
בית שמש,2008,1
בני ברק,1998,1
בני ברק,1999,1
בני ברק,2007,1
בני ברק,2013,3
בני ברק,2015,1
בני ברק,2021,1
בת ים,1998,4
בת ים,2012,2
בת ים,2013,2
הרצלייה,1999,2
הרצלייה,2001,1
הרצלייה,2010,3
הרצלייה,2023,1
הרצלייה,2024,2
חדרה,2000,1
חדרה,2003,1
חולון,2004,1
חיפה,1998,2
חיפה,1999,1
חיפה,2000,1
חיפה,2001,1
חיפה,2002,2
חיפה,2003,2
חיפה,2012,1
ירושלים,2000,5
ירושלים,2002,2
כפר סבא,2000,2
כפר סבא,2001,8
כפר סבא,2002,3
כפר סבא,2005,1
כפר סבא,2006,1
כפר סבא,2020,1
כפר סבא,2024,2
נתניה,1999,2
נתניה,2000,1
נתניה,2001,9
נתניה,2002,7
נתניה,2003,1
נתניה,2005,1
נתניה,2006,2
נתניה,2007,3
נתניה,2008,1
נתניה,2010,3
נתניה,2018,1
נתניה,2020,2
נתניה,2021,1
פתח תקווה,1998,3
פתח תקווה,1999,3
פתח תקווה,2000,2
פתח תקווה,2001,4
פתח תקווה,2002,3
ראשון לציון,1999,2
ראשון לציון,2000,5
ראשון לציון,2001,2
ראשון לציון,2003,6
רחובות,2000,1
רחובות,2002,3
רמת גן,2000,1
רמת גן,2002,1
רמת גן,2014,1
רעננה,2000,1
רעננה,2002,2
תל אביב -יפו,1998,1
תל אביב -יפו,1999,1
תל אביב -יפו,2000,7
תל אביב -יפו,2001,6
תל אביב -יפו,2002,1
תל אביב -יפו,2003,1
תל אביב -יפו,2004,7
תל אביב -יפו,2005,1
תל אביב -יפו,2007,4
תל אביב -יפו,2008,1
תל אביב -יפו,2009,1
תל אביב -יפו,2010,2
תל אביב -יפו,2011,1
תל אביב -יפו,2012,1
תל אביב -יפו,2016,4
תל אביב -יפו,2019,2
תל אביב -יפו,2020,1
תל אביב -יפו,2021,1
תל אביב -יפו,2022,2
תל אביב -יפו,2023,4
