settlement_code,settlement,rows
5000,תל אביב -יפו,250853
3000,ירושלים,183550
4000,חיפה,125738
7900,פתח תקווה,124367
8300,ראשון לציון,117457
9000,באר שבע,114012
7400,נתניה,108103
70,אשדוד,95742
7100,אשקלון,85523
8600,רמת גן,84697
6600,חולון,79451
8400,רחובות,65930
6200,בת ים,63403
6500,חדרה,53942
6100,בני ברק,50976
6400,הרצלייה,50741
2610,בית שמש,49684
1200,מודיעין-מכבים-רעות,43705
6900,כפר סבא,41169
7700,עפולה,38913
8700,רעננה,37171
9100,נהרייה,35170
2600,אילת,34847
2630,קריית גת,32721
9700,הוד השרון,31838
6800,קריית אתא,30993
7000,לוד,29466
6300,גבעתיים,27606
8200,קריית מוצקין,26139
8500,רמלה,26121
9500,קריית ביאליק,25409
6700,טבריה,24839
246,נתיבות,24510
2650,רמת השרון,23378
1139,כרמיאל,23369
2640,ראש העין,23121
7600,עכו,22843
7800,פרדס חנה-כרכור,21069
9600,קריית ים,20967
7200,נס ציונה,20635
2660,יבנה,20464
1061,נוף הגליל,19993
2620,קריית אונו,18844
31,אופקים,17487
2530,באר יעקב,17419
2200,דימונה,17091
2400,אור יהודה,16046
2560,ערד,15414
1031,שדרות,15384
2500,נשר,14942
,אלעד,14558
1309,אלעד,14558
,גדרה,14556
2550,גדרה,14556
,חריש,14162
1247,חריש,14162
,יהוד,13189
,צפת,12991
8000,צפת,12991
,גבעת שמואל,12776
681,גבעת שמואל,12776
2100,טירת כרמל,12032
,טירת כרמל,12032
9300,זכרון יעקב,11895
,זכרון יעקב,11895
,קריית מלאכי,11556
1034,קריית מלאכי,11556
,אור עקיבא,11179
1020,אור עקיבא,11179
,מגדל העמק,10953
874,מגדל העמק,10953
168,כפר יונה,10858
,כפר יונה,10858
166,גן יבנה,9471
,גן יבנה,9471
,יקנעם עילית,9166
240,יקנעם עילית,9166
,נצרת,9061
7300,נצרת,9061
2800,קריית שמונה,8466
,קריית שמונה,8466
,מבשרת ציון,8030
1015,מבשרת ציון,8030
1304,שוהם,7679
,שוהם,7679
,קרית חיים,7663
2300,קריית טבעון,7277
,קריית טבעון,7277
9200,בית שאן,7047
,בית שאן,7047
,מעלות-תרשיחא,6907
1063,מעלות-תרשיחא,6907
229,גני תקווה,6813
,גני תקווה,6813
,אום אל-פחם,6546
2710,אום אל-פחם,6546
,סח'נין,6532
7500,סח'נין,6532
,בנימינה-גבעת עדה,5918
9800,בנימינה-גבעת עדה,5918
529,אעבלין,5866
,אעבלין,5866
565,אזור,5777
,אזור,5777
494,דאלית אל-כרמל,5769
,דאלית אל-כרמל,5769
182,אבן יהודה,5527
,אבן יהודה,5527
,תל מונד,5467
154,תל מונד,5467
8800,שפרעם,5463
,שפרעם,5463
28,מזכרת בתיה,5421
,מזכרת בתיה,5421
195,קדימה-צורן,5160
,קדימה-צורן,5160
,עתלית,4655
53,עתלית,4655
,ירוחם,4424
831,ירוחם,4424
,רכסים,4157
922,רכסים,4157
,טמרה,3908
8900,טמרה,3908
,קצרין,3878
4100,קצרין,3878
,ריינה,3661
542,ריינה,3661
,עספיא,3651
534,עספיא,3651
,עראבה,3636
531,עראבה,3636
,מיתר,3408
1268,מיתר,3408
,טייבה,3405
2730,טייבה,3405
510,כפר מנדא,3395
,כפר מנדא,3395
,מג`ד אל-כרום,3288
516,מג`ד אל-כרום,3288
,רמת ישי,3285
122,רמת ישי,3285
,כפר כנא,3249
509,כפר כנא,3249
1113,צור הדסה,3080
,צור הדסה,3080
812,שלומי,3037
,שלומי,3037
,חצור הגלילית,3032
2034,חצור הגלילית,3032
666,עומר,2930
,עומר,2930
,קיסריה,2924
1167,קיסריה,2924
47,כפר תבור,2921
,כפר תבור,2921
,טורעאן,2792
498,טורעאן,2792
46,יבנאל,2787
,יבנאל,2787
481,מגאר,2712
,מגאר,2712
,מצפה רמון,2447
99,מצפה רמון,2447
,באקה אל-גרביה,2396
6000,באקה אל-גרביה,2396
,קריית עקרון,2355
469,קריית עקרון,2355
638,קלנסווה,2305
,קלנסווה,2305
485,ג'ולס,2281
,ג'ולס,2281
1066,"בני עי""ש",2277
,מעיליא,2277
518,מעיליא,2277
,"בני עי""ש",2277
,נצר סרני,2272
435,נצר סרני,2272
,בית ג'ן,2243
480,בית ג'ן,2243
65,מגדל,2224
,מגדל,2224
,,2171
,להבים,2118
1271,להבים,2118
,כפר ורדים,2056
1263,כפר ורדים,2056
532,עין מאהל,2029
,עין מאהל,2029
634,כפר קאסם,2014
,כפר קאסם,2014
,נחף,2008
522,נחף,2008
466,בית דגן,1967
,בית דגן,1967
502,ירכא,1963
,ירכא,1963
,כפר יאסיף,1959
507,כפר יאסיף,1959
,גבעת עדה,1947
