settlement_code,settlement,year,rows
,,1998,112
,אבו גוש,1998,8
,אבו סנאן,1998,68
,אבטליון,1998,2
,אביטל,1998,1
,אביעזר,1998,1
,אבירים,1998,1
,אום אל-פחם,1998,135
,אומן,1998,1
,אחיהוד,1998,3
,אילות,1998,3
,אלון הגליל,1998,1
,אלוני הבשן,1998,1
,אלקוש,1998,1
,אניעם,1998,1
,אשחר,1998,3
,אשתאול,1998,16
,בוסתן הגליל,1998,9
,ביאדה,1998,4
,בית ג'ן,1998,25
,בית הגדי,1998,5
,בית השיטה,1998,5
,בית יוסף,1998,2
,בית מאיר,1998,1
,בית נקופה,1998,9
,בית שאן,1998,88
,בני יהודה,1998,6
,בענה,1998,19
,ברטעה,1998,1
,ג'דיידה-מכר,1998,35
,ג'ולס,1998,40
,גבעת יואב,1998,4
,גבעת יערים,1998,26
,גבעת ישעיהו,1998,38
,גדיידה,1998,8
,גדיש,1998,5
,גדעונה,1998,1
,גורנות הגליל,1998,1
,גילון,1998,18
,גילת,1998,19
,גיתה,1998,3
,גן נר,1998,70
,גשור,1998,1
,גת בגליל,1998,13
,דבורה,1998,1
,דייר אל-אסד,1998,13
,דייר חנא,1998,47
,דקל,1998,4
,הושעיה,1998,6
,הילה,1998,2
,"הערבה מ""א 15",1998,1
,הררית,1998,3
,זכריה,1998,9
,זלפה,1998,4
,זרועה,1998,3
,חבר,1998,6
,חוסן,1998,18
,חורה,1998,1
,חורפיש,1998,14
,חלוץ,1998,4
,חספין,1998,4
,חצבה,1998,2
,חריש,1998,4
,חרשים,1998,1
,טייבה )בעמק(,1998,8
,טל-אל,1998,15
,טמרה,1998,106
,יאנוח,1998,14
,יאנוח-ג'ת,1998,2
,יובלים,1998,4
,יזרעאל,1998,2
,יעד,1998,6
,יערה,1998,1
,ירדנה,1998,2
,ירוחם,1998,62
,ירכא,1998,49
,כאבול,1998,14
,כאוכב אבו אל-היג'א,1998,7
,כיסרא,1998,1
,כמון,1998,1
,כנף,1998,1
,כסרא-סמיע,1998,19
,כפר החורש,1998,2
,"כפר הרי""ף",1998,7
,כפר ורדים,1998,116
,כפר יאסיף,1998,36
,כפר יחזקאל,1998,8
,כפר מצר,1998,3
,כפר סמיע,1998,6
,לבון,1998,4
,להבים,1998,14
,לוחמי הגיטאות,1998,1
,לוטם,1998,1
,מ. א. בקעת בית שאן,1998,2
,מ. א. חבל אילות,1998,2
,מ. א. מטה יהודה,1998,4
,מ. א. משגב,1998,1
,מ. א. רמת נגב,1998,2
,מבוא ביתר,1998,16
,מבועים,1998,8
,מבשרת ציון,1998,206
,מג`ד אל-כרום,1998,78
,מגדל העמק,1998,293
,מגידו,1998,1
,מולדת,1998,38
,מועאוויה,1998,14
,מוקייבלה,1998,11
,מושיירפה,1998,3
,מזרעה,1998,3
,מטע,1998,10
,מי עמי,1998,1
,מירון,1998,5
,מיתר,1998,48
,מכר,1998,28
,מלאה,1998,4
,מנות,1998,6
,מסילת ציון,1998,8
,מעיליא,1998,55
,מעלות-תרשיחא,1998,230
,"מצפה אבי""ב",1998,4
,מצפה רמון,1998,50
,משאבי שדה,1998,1
,משגב,1998,2
,משמר העמק,1998,5
,"נווה אטי""ב",1998,1
,נווה דקלים,1998,1
,נחלה,1998,1
,נחם,1998,3
,נחף,1998,62
,נטועה,1998,1
,ניצני סיני,1998,4
,נצרת,1998,248
,סאג'ור,1998,33
,סגולה,1998,13
,סדום,1998,2
,סח'נין,1998,103
,סלמה,1998,2
,עומר,1998,165
,עידן,1998,1
,עין אל-אסד,1998,7
,עין המפרץ,1998,11
,עין יהב,1998,3
,עין נקובא,1998,3
,עצמון שגב,1998,3
,עראבה,1998,35
,עראמשה,1998,4
,ערערה-בנגב,1998,1
,פארן,1998,1
,פסוטה,1998,20
,פקיעין )בוקייעה(,1998,12
,פקיעין חדשה,1998,1
,פרזון,1998,2
,צביה,1998,2
,צהל,1998,3
,צוחר,1998,4
,צור הדסה,1998,100
,צורית,1998,2
,צנדלה,1998,1
,צפרירים,1998,2
,קטורה,1998,1
,קלע,1998,1
,קצרין,1998,105
,קריית יערים,1998,14
,קרית יערים)מוסד(,1998,10
,ראמה,1998,56
,רביבים,1998,1
,רהט,1998,5
,רוויה,1998,1
,רם-און,1998,18
,רמות,1998,1
,רמת חובב,1998,25
,רמת רזיאל,1998,5
,רמת רחל,1998,1
,רנן,1998,5
,שבי ציון,1998,3
,שגב-שלום,1998,42
,שדה בוקר,1998,8
,שדה משה,1998,54
,שדה נחום,1998,4
,שדה צבי,1998,5
,שדי תרומות,1998,1
,שובל,1998,1
,שורש,1998,46
,שזור,1998,1
,שיבולים,1998,5
,שייח' דנון,1998,1
,שלומי,1998,65
,שמשית,1998,251
,שעב,1998,4
,שעל,1998,2
,שריגים )לי-און(,1998,13
,שרשרת,1998,7
,תובל,1998,15
,תושיה,1998,2
,תירוש,1998,6
,תל תאומים,1998,2
,"תלמי ביל""ו",1998,3
,תקומה,1998,1
,אבטין,1998,4
,אור עקיבא,1998,134
,אושה,1998,4
,אילניה,1998,10
,אכסאל,1998,17
,אלוני אבא,1998,68
,אליפלט,1998,2
,אליקים,1998,2
,אמירים,1998,12
,אמנון,1998,1
,אעבלין,1998,78
,אפק,1998,2
,ארבל,1998,3
,בועיינה-נוג'ידאת,1998,3
,ביר אל-מכסור,1998,17
,ביריה,1998,4
,בית אורן,1998,16
,בית לחם הגלילית,1998,2
,בית שערים,1998,3
,בלפוריה,1998,1
,בנימינה-גבעת עדה,1998,183
,בסמת טבעון,1998,22
,בר יוחאי,1998,9
,ברקאי,1998,2
,בת שלמה,1998,22
,ג'ש )גוש חלב(,1998,27
,גבע כרמל,1998,29
,גבעת אבני,1998,28
,גבעת אלה,1998,11
,"גבעת ניל""י",1998,4
,גבעת עדה,1998,155
,דאלית אל-כרמל,1998,186
,דבוריה,1998,19
,דברת,1998,7
,דגניה א',1998,1
,דגניה ב',1998,1
,דור,1998,1
,דחי,1998,4
,דלתון,1998,2
,האון,1998,1
,החותרים,1998,2
,הסוללים,1998,1
,זכרון יעקב,1998,422
,זרזיר,1998,41
,חזון,1998,1
,חלף,1998,21
,חצור הגלילית,1998,37
,טובא-זנגריה,1998,35
,טורעאן,1998,33
,טירת כרמל,1998,251
,טפחות,1998,3
,יבנאל,1998,68
,יסוד המעלה,1998,11
,יפיע,1998,55
,יקנעם )מושבה(,1998,143
,יקנעם עילית,1998,257
,כורזים,1998,4
,כלנית,1998,2
,כנרת )מושבה(,1998,42
,כפר ביאליק,1998,3
,כפר גדעון,1998,2
,כפר המכבי,1998,5
,כפר הנשיא,1998,3
,כפר חושן,1998,1
,כפר חיטים,1998,7
,כפר חסידים א',1998,1
,כפר יהושע,1998,1
,כפר כמא,1998,3
,כפר כנא,1998,122
,כפר מנדא,1998,38
,כפר פינס,1998,1
,כפר קיש,1998,3
,כפר קרע,1998,10
,כפר תבור,1998,107
,כרכום,1998,1
,"כרם מהר""ל",1998,5
,לביא,1998,4
,לבנים,1998,3
,מ. א. הגליל העליון,1998,3
,מ. א. הגליל התחתון,1998,1
,מ. א. מרום הגליל,1998,19
,מ. א. עמק הירדן,1998,1
,מגאר,1998,59
,מגדים,1998,14
,מגדל,1998,59
,מורשת,1998,5
,מזרע,1998,10
