settlement_code,settlement,extra_rows
,אלעד,14558
,גדרה,14556
,חריש,14162
,צפת,12991
,גבעת שמואל,12776
,טירת כרמל,12032
,זכרון יעקב,11895
,קריית מלאכי,11556
,אור עקיבא,11179
,מגדל העמק,10953
,כפר יונה,10858
,גן יבנה,9471
,יקנעם עילית,9166
,נצרת,9061
,קריית שמונה,8466
,מבשרת ציון,8030
,שוהם,7679
,קריית טבעון,7277
,בית שאן,7047
,מעלות-תרשיחא,6907
,גני תקווה,6813
,אום אל-פחם,6546
,סח'נין,6532
,בנימינה-גבעת עדה,5918
,אעבלין,5866
,אזור,5777
,דאלית אל-כרמל,5769
,אבן יהודה,5527
,תל מונד,5467
,שפרעם,5463
,מזכרת בתיה,5421
,קדימה-צורן,5160
,עתלית,4655
,ירוחם,4424
,רכסים,4157
,טמרה,3908
,קצרין,3878
,ריינה,3661
,עספיא,3651
,עראבה,3636
,מיתר,3408
,טייבה,3405
,כפר מנדא,3395
,מג`ד אל-כרום,3288
,רמת ישי,3285
,כפר כנא,3249
,צור הדסה,3080
,שלומי,3037
,חצור הגלילית,3032
,עומר,2930
,קיסריה,2924
,כפר תבור,2921
,טורעאן,2792
,יבנאל,2787
,מגאר,2712
,מצפה רמון,2447
,באקה אל-גרביה,2396
,קריית עקרון,2355
,קלנסווה,2305
,ג'ולס,2281
,מעיליא,2277
,"בני עי""ש",2277
,נצר סרני,2272
,בית ג'ן,2243
,מגדל,2224
,להבים,2118
,כפר ורדים,2056
,עין מאהל,2029
,כפר קאסם,2014
,נחף,2008
,בית דגן,1967
,ירכא,1963
,כפר יאסיף,1959
,יפיע,1888
,אבו סנאן,1865
,מצליח,1829
,ראמה,1828
,ראש פינה,1791
,צור יצחק,1740
,ג'ת,1721
,צור נתן,1710
,כפר החורש,1710
,ג'דיידה-מכר,1634
,טירה,1633
,ערערה,1598
,דבוריה,1531
,פרדסיה,1528
,ינוב,1523
,דייר חנא,1521
,אכסאל,1495
,נחלים,1447
,בוסתן הגליל,1439
,בת חפר,1402
,עילוט,1368
,משהד,1363
,אחיסמך,1341
,קריית יערים,1326
,שדות ים,1315
,כפר שמריהו,1314
,פסוטה,1288
,סאג'ור,1272
,עיילבון,1233
,שגב-שלום,1160
,בענה,1160
,אפק,1136
,ג'ש )גוש חלב(,1075
,כאבול,1063
,משמר העמק,996
,גליל ים,990
,נען,960
,בן זכאי,951
,כפר קרע,949
,עין כרמל,911
,כפר ברא,897
,חורפיש,888
,ניצנים,880
,זרזיר,871
,פוריידיס,859
,עין המפרץ,837
,שער אפרים,832
,פוריה עילית,818
,אליכין,816
,יהוד-מונוסון,801
,יקנעם )מושבה(,791
,רשפון,772
,בועיינה-נוג'ידאת,763
,פקיעין )בוקייעה(,756
,יד חנה,743
,מרכז שפירא,742
,צור משה,736
,גבעת ברנר,734
,ג'סר א-זרקא,733
,ביר אל-מכסור,710
,ניר גלים,706
,אבו גוש,705
,מרחביה )מושב(,678
,גן נר,675
,תל עדשים,669
,נופית,664
,גבת,662
,גבעת יערים,660
,דייר אל-אסד,659
,מעלה עירון,650
,שורש,645
,משמר הנגב,642
,רהט,640
,שעב,638
,כפר מנחם,632
,גזר,630
,שדה ורבורג,626
,באר טוביה,619
,יאנוח-ג'ת,618
,ברקת,618
,כאוכב אבו אל-היג'א,614
,מטולה,613
,אמציה,610
,שפיים,604
,כנרת )מושבה(,587
,שמשית,576
,כסרא-סמיע,574
,נווה מיכאל,568
,רמות השבים,567
,ניצן,556
,בצרה,556
,שמרת,555
,מגל,554
,בית השיטה,542
,ג'לג'וליה,541
,בני דרור,530
,בית יצחק-שער חפר,530
,בית חשמונאי,528
,קציר,527
,בסמת טבעון,522
,חוסן,521
,יסוד המעלה,518
,חפץ חיים,517
,רמת השופט,516
,גני הדר,514
,מתן,506
,מענית,495
,החותרים,495
,מי עמי,491
,ניין,488
,אושה,487
,אלונים,487
,תל יצחק,483
,מולדת,480
,יד בנימין,479
,רגבה,476
,"נתיב הל""ה",471
,בלפוריה,469
,בית חלקיה,468
,רוחמה,464
,עדי,461
,בחן,457
,אומן,454
,"עין כרם-בי""ס חקלאי",454
,בני ציון,452
,מאור,451
,נורדיה,449
,בית חנן,447
,יסודות,446
,גבעת אבני,445
,לפיד,444
,נגבה,441
,אילניה,436
,דגניה א',434
,זמר,431
,הבונים,426
,שדה בוקר,424
,משמר דוד,421
,טובא-זנגריה,418
,פוריה - נווה עובד,411
,ציפורי,410
,שער העמקים,408
,עין שריד,407
,כפר המכבי,407
,גת )קיבוץ(,405
,נס הרים,405
,באר אורה,402
,אלוני אבא,396
,חרב לאת,396
,חבר,390
,גן שלמה,387
,מוקייבלה,385
,גילון,384
,שבי ציון,384
,עין שמר,383
,עדנים,383
,חספין,383
,מצובה,379
,בת שלמה,376
,אבן שמואל,376
,כרמים,375
,נווה אילן,375
,רגבים,375
,גלאון,374
,נהורה,374
,כפר ראש הנקרה,373
,גן חיים,367
,מנחמיה,364
,הסוללים,359
,שדה נחום,358
,שריגים )לי-און(,356
,גבעת חיים )איחוד(,356
,בית אלפא,355
,רבדים,353
,אשדות יעקב )איחוד(,350
,כברי,348
,חפצי-בה,347
,אשחר,347
,גילת,346
,כפר הנשיא,345
,ירחיב,344
,חבצלת השרון,343
,עין איילה,341
,שפיר,340
,אילון,334
,קריית ענבים,334
,משמרת,331
,שריד,330
,בית ניר,329
,חופית,329
,עין השופט,327
,צופית,327
,עין דור,326
,מזרע,326
,שכניה,326
,רמות מנשה,326
,נאעורה,325
,ברקאי,324
,שבלי - אום אל-גנם,322
,סלמה,320
,מוצא עילית,319
,תמרת,314
,שתולים,312
,כפר דניאל,310
,חוקוק,308
,מבוא ביתר,307
,חנתון,307
,כפר כמא,305
,יסעור,302
,מגידו,302
,גבעת אלה,301
,לבון,300
,כפר יחזקאל,300
,גן השומרון,299
,גיניגר,299
,דברת,298
,כרמי יוסף,298
,תלמי יפה,295
,הגושרים,295
,גבעות בר,293
,יחיעם,292
,שדה יואב,290
,רשפים,288
,יפעת,287
,"בסמ""ה",287
,עין ורד,287
,כפר מסריק,287
,מירון,285
,כעביה-טבאש-חג'אג'רה,284
,חולתה,284
,איילת השחר,283
,"כפר חב""ד",282
,סולם,281
,גינוסר,280
,ניר דוד )תל עמל(,278
,מסד,278
,חניתה,277
,בית אלעזרי,275
,עין יהב,274
,ארבל,274
,מרחביה )קיבוץ(,273
,מזרעה,273
,שדה משה,271
,בית העמק,271
,העוגן,271
,עשרת,271
,מעין ברוך,270
,משמרות,270
,גשר,268
,אבטין,268
,רם-און,267
,חולדה,267
,גזית,265
,בית הגדי,263
,לוטם,262
,מבקיעים,261
,אביחיל,261
,מבועים,261
,טל-אל,260
,מורשת,260
,ספיר,259
,ברור חיל,259
,כפר נטר,258
,להבות הבשן,258
,לכיש,257
,געש,253
,הודיה,253
,קלחים,252
,כפר קיש,252
,טירת יהודה,251
,כפר יהושע,250
,הושעיה,250
,גבע כרמל,250
,אירוס,250
,ביצרון,247
,שדה אליעזר,246
,לוזית,245
,פרוד,245
,שעלבים,244
,כפר בלום,244
,אלומה,244
,אבטליון,241
,אביעזר,240
,מסלול,239
,שובל,238
,דפנה,237
,תימורים,235
,כפר יעבץ,234
,טירת צבי,234
,עמיעד,233
,אשלים,232
,נחם,232
,בני יהודה,232
,כפר סירקין,231
,כפר הס,231
,לוחמי הגיטאות,230
,כוכב מיכאל,230
,המעפיל,229
,שדה נחמיה,229
,כרמיה,228
,בית לחם הגלילית,225
,עין יעקב,225
,פוריה - כפר עבודה,224
,חזון,224
,יובלים,223
,צורית,223
,עצמון שגב,222
,כפר ידידיה,221
,כנרת )קבוצה(,221
,מגדים,219
,חמד,219
,אשתאול,218
,קדרון,217
,שרונה,217
,כפר ויתקין,217
,ערוגות,217
,נאות מרדכי,216
,גדעונה,216
,בית שקמה,215
,פלמחים,215
,משמר הירדן,215
,מעגן,214
,כפר ורבורג,214
,שורשים,211
,בני דרום,211
,כפר חיטים,211
,גבעת ישעיהו,210
,כורזים,209
,תל שבע,209
,כפר אחים,208
,חיבת ציון,208
,חד-נס,208
,עין צורים,207
,גבעת השלושה,207
,כפר רופין,207
,אלון הגליל,207
,זיתן,207
,מנוחה,205
,תל קציר,205
,מחניים,204
,אדרת,204
,"כפר הרי""ף",204
,אשבול,204
,כמון,203
,אלומות,202
,זוהר,202
,חגלה,202
,עמיר,202
,גני עם,201
,דן,201
,עין העמק,201
,נבטים,200
,"כפר הרא""ה",200
,נווה זוהר,200
,אור הנר,199
,בית נקופה,199
,פטיש,199
,נהלל,199
,גיאה,198
,דגניה ב',197
,מכמורת,197
,"כפר מל""ל",197
,אבו ג'ווייעד )שבט(,197
,אשרת,196
,כפר טרומן,195
,נטעים,195
,נחושה,194
,ניר עציון,193
,תובל,192
,"כפר ביל""ו",191
,עין אל-אסד,191
,יודפת,190
,רקפת,190
,משמר השבעה,190
,רמת דוד,189
,דקל,189
,"יד רמב""ם",189
,אביאל,189
,עוזייר,188
,תלמי יחיאל,186
,עזריקם,185
,נווה ים,185
,שחר,185
,ביתר עילית,184
,היוגב,184
,רביבים,184
,ברוש,183
,אמונים,183
,להב,183
,זבדיאל,183
,נחשון,182
,שילת,182
,פדיה,182
,מעוז חיים,182
,כפר בן נון,181
,צפריה,181
,מצר,181
,כמאנה,180
,כפר ביאליק,180
,עין הבשור,180
,גברעם,179
,בית קשת,179
,זרועה,179
,אפיקים,178
,עמיקם,177
,בית חנניה,177
,שדה דוד,177
,כפר גלעדי,177
,תלמי אלעזר,175
,חרוצים,174
