settlement_code,settlement,gush,chelka,sub_chelka,deal_date,deal_amount,declared_amount,deal_nature,portion,year_built,asset_area,room_num,scraped_at,first_seen
,שגב-שלום,401025,29,000,25/08/2021,120000,120000,ללא תיכנון,1.000,0,1955,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,רהט,401025,11,000,07/03/2019,36000,36000,לא מעובדת,1.000,0,1826,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,רהט,401025,15,000,05/04/2017,34417,34417,ללא תיכנון,0.250,0,0,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,אבו ג'ווייעד )שבט(,401025,15,000,05/04/2017,25803,25803,ללא תיכנון,0.250,0,0,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,רהט,401025,24,000,28/12/2016,25063,25063,לא מעובדת,1.000,0,0,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,רהט,401025,23,000,28/12/2016,16937,16937,לא מעובדת,1.000,0,0,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,רהט,401025,14,000,28/12/2016,7739,7739,לא מעובדת,1.000,0,0,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,רהט,401025,16,000,28/12/2016,4986,4986,לא מעובדת,1.000,0,0,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,רהט,401025,11,000,28/12/2016,17633,17633,לא מעובדת,1.000,0,0,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,אבו ג'ווייעד )שבט(,401025,15,000,05/04/2017,117667,117667,לא מעובדת,1.000,0,0,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,רהט,401025,8,000,28/12/2016,7739,7739,מגורים,1.000,0,0,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,רהט,401025,22,000,28/07/2015,19200,19200,לא מעובדת,1.000,0,0,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,משמר הנגב,401025,15,000,16/05/2017,14180,14180,מגורים,0.250,0,0,0,2026-09-19 05:55:00.406287+00,2026-09-19 09:52:08.913095+00:00
,ערערה-בנגב,401000,1,002,25/11/2020,51282,51282,מגורים,1.000,0,3000,0,2026-09-19 05:51:52.350472+00,2026-09-19 09:52:08.913095+00:00
,ערערה-בנגב,401000,1,080,12/12/2017,209272,209272,מגורים,1.000,0,0,0,2026-09-19 05:51:52.350472+00,2026-09-19 09:52:08.913095+00:00
,ערערה-בנגב,401000,1,178,11/12/2017,189661,189661,מגורים,1.000,0,0,0,2026-09-19 05:51:52.350472+00,2026-09-19 09:52:08.913095+00:00
,ערערה-בנגב,401000,1,174,11/12/2017,190992,190992,מגורים,1.000,0,0,0,2026-09-19 05:51:52.350472+00,2026-09-19 09:52:08.913095+00:00
,להבים,400548,4,000,15/03/2026,3000000,3000000,דירה בבית קומות,1.000,2000,189,5,2026-09-19 04:35:40.195401+00,2026-09-19 09:52:08.913095+00:00
,להבים,400548,28,000,29/07/2024,3150000,3150000,קוטג' חד משפחתי,1.000,1998,230,5,2026-09-19 04:35:40.195401+00,2026-09-19 09:52:08.913095+00:00
,להבים,400548,9,000,28/05/2024,3000000,3000000,קוטג' חד משפחתי,1.000,2010,193,6,2026-09-19 04:35:40.195401+00,2026-09-19 09:52:08.913095+00:00
