portion,rows
1.000,2594874
0.500,280939
0.000,91619
0.333,74139
0.250,63462
0.001,31967
0.166,28895
0.125,23300
0.200,21870
0.083,17482
0.010,17360
0.750,13911
0.100,13853
0.666,12777
0.002,11149
0.062,10798
0.050,9782
0.003,9543
0.020,9413
0.005,9010
0.004,8921
0.041,8823
0.006,7946
0.400,7545
0.300,7381
0.008,7110
0.007,6989
0.142,6942
0.111,6791
0.350,6757
0.012,6246
0.013,6224
0.009,6170
0.015,6104
0.011,6065
0.055,5988
0.027,5832
0.031,5733
0.016,5720
0.025,5557
0.150,5128
0.030,5043
0.014,5026
0.040,4899
0.017,4813
0.600,4801
0.018,4601
0.033,4262
0.035,4072
0.023,4021
0.022,3932
0.019,3864
0.700,3850
0.090,3752
0.066,3593
0.037,3445
0.375,3423
0.071,3404
0.060,3381
0.021,3290
0.800,3276
0.026,3121
0.070,3069
0.024,3036
0.029,3023
0.080,2993
0.028,2916
0.900,2781
0.187,2579
0.047,2526
0.120,2524
0.045,2497
0.032,2453
0.034,2419
0.038,2333
0.036,2219
0.110,2189
0.160,2179
0.180,2083
0.046,2075
0.130,2057
0.039,2046
0.140,2018
0.043,2006
0.075,1891
0.170,1877
0.052,1864
0.093,1860
0.450,1812
0.044,1811
0.625,1779
0.049,1775
0.048,1763
0.053,1761
0.042,1742
0.058,1682
0.054,1677
0.650,1656
0.240,1625
0.190,1530
0.051,1523
0.220,1512
0.056,1486
0.057,1473
0.076,1400
0.059,1363
0.230,1358
0.270,1331
0.065,1327
0.072,1306
0.061,1290
0.064,1264
0.280,1241
0.210,1237
0.440,1230
0.550,1230
0.067,1226
0.074,1221
0.078,1221
0.068,1220
0.063,1207
0.069,1196
0.260,1187
0.330,1161
0.875,1151
0.416,1126
0.222,1122
0.095,1107
0.133,1096
0.310,1081
0.087,1068
0.099,1061
0.320,1044
0.340,1037
0.833,1035
0.085,1010
0.380,998
0.290,997
0.990,988
0.370,987
0.082,974
0.560,964
0.081,954
0.104,945
0.107,940
0.077,939
0.088,910
0.084,884
0.091,869
0.073,863
0.850,862
0.225,855
0.420,854
0.124,852
0.312,852
0.950,847
0.086,845
0.360,841
0.660,831
0.132,830
0.106,827
0.208,824
0.116,815
0.105,814
0.092,811
0.390,799
0.079,795
0.097,790
0.145,774
0.980,772
0.910,769
0.470,763
0.490,747
0.175,746
0.460,744
0.410,741
0.102,732
0.098,731
0.109,730
0.096,726
0.199,726
0.430,726
0.108,722
0.089,716
0.156,711
0.480,708
0.285,695
0.840,692
0.094,690
0.115,688
0.138,688
0.630,684
0.590,676
0.162,673
0.916,672
0.101,663
0.249,661
0.620,656
0.114,655
0.580,648
0.135,629
0.499,628
0.103,624
0.117,623
0.670,622
0.113,621
0.112,613
0.123,605
0.610,593
0.121,582
0.437,575
0.119,561
0.520,560
0.122,557
0.291,557
0.118,550
0.510,544
0.680,537
0.820,532
0.870,526
0.780,514
0.137,509
0.720,509
0.880,507
0.530,505
0.148,494
0.126,493
0.760,492
0.264,491
0.127,490
0.128,487
0.640,483
0.165,481
0.730,476
0.153,474
0.690,473
0.540,471
0.218,469
0.860,465
0.570,458
0.152,454
0.157,453
0.212,453
0.740,453
0.960,452
0.266,447
0.403,445
0.136,442
0.770,441
0.155,440
0.830,440
0.710,438
0.131,435
0.181,434
0.275,433
0.134,432
0.214,431
0.154,428
0.129,427
0.583,427
0.458,426
0.143,421
0.970,416
0.920,415
0.930,414
0.195,409
0.262,406
0.937,401
0.232,400
0.141,399
0.139,398
0.475,397
0.183,395
0.940,390
0.144,387
0.173,387
0.185,387
0.194,384
0.151,380
0.147,380
0.149,375
0.205,363
0.158,358
0.277,357
0.890,355
0.164,354
0.178,353
0.177,352
0.233,351
0.171,349
0.167,345
0.161,340
0.790,338
0.146,337
0.245,335
0.163,333
0.176,330
0.495,330
0.237,320
0.812,317
0.174,312
0.241,311
0.159,308
0.252,308
0.206,307
0.196,307
0.169,307
0.191,304
0.184,303
0.186,303
0.203,303
0.168,298
0.997,287
0.305,286
0.428,286
0.810,284
0.179,281
0.197,279
0.229,278
0.182,276
0.268,274
0.325,273
0.189,271
0.498,270
0.444,263
0.192,261
0.172,260
0.243,257
0.202,256
0.223,256
0.562,256
0.281,255
0.198,255
0.238,250
0.235,250
0.188,248
0.215,247
0.501,241
0.216,237
0.248,237
0.274,236
0.226,232
0.239,229
0.425,226
0.193,222
0.236,221
0.255,221
0.242,220
0.207,218
0.332,217
0.231,217
0.315,217
0.234,214
0.406,214
0.213,211
0.257,205
0.246,204
0.211,201
0.227,201
0.204,201
0.228,201
0.307,200
0.265,197
0.247,196
0.571,196
0.251,191
0.201,190
0.388,190
0.256,189
0.296,188
0.267,187
0.253,186
0.335,186
0.283,185
0.219,184
0.244,182
0.505,182
0.254,180
0.555,179
0.221,176
0.217,173
0.263,171
0.209,170
0.259,170
0.272,169
0.278,166
0.357,165
0.261,165
0.857,164
0.602,164
0.287,163
0.224,161
0.318,160
0.321,160
0.316,160
0.306,159
0.302,157
0.295,156
0.343,155
0.334,155
0.777,155
0.301,153
0.273,152
0.282,150
0.439,147
0.288,146
0.314,146
0.294,145
0.258,143
0.886,142
0.293,141
0.297,141
0.331,141
0.337,140
0.466,139
0.286,137
0.317,137
0.481,137
0.323,137
0.269,136
0.279,135
0.989,135
0.541,134
0.292,132
0.805,132
0.363,131
0.468,131
0.998,131
0.276,130
0.328,130
0.485,130
0.289,128
0.298,127
0.271,126
0.395,126
0.345,125
0.518,124
0.366,121
0.533,121
0.322,120
0.327,119
0.299,119
0.303,119
0.958,119
0.313,118
0.319,118
0.326,118
0.324,118
0.502,117
0.309,116
0.714,116
0.465,116
0.496,115
0.975,115
0.304,114
0.377,114
0.365,114
0.494,113
0.433,112
0.284,110
0.308,109
0.348,109
0.355,109
0.487,108
0.497,108
0.687,108
0.338,107
0.347,107
0.367,107
0.361,106
0.415,106
0.725,106
0.445,104
0.435,103
0.329,102
0.342,101
0.354,101
0.438,100
0.362,100
0.454,99
0.356,99
0.341,99
0.436,98
0.385,98
0.311,97
0.486,97
0.364,96
0.336,96
0.344,96
0.457,95
0.349,95
0.488,94
0.374,94
0.397,94
0.888,94
0.417,93
0.368,93
0.545,93
0.387,92
0.352,91
0.455,91
0.483,90
0.386,90
0.979,90
0.393,89
0.594,89
0.381,88
0.384,88
0.476,88
0.358,88
0.504,88
0.464,87
0.443,87
0.493,87
0.525,87
0.389,86
0.446,86
0.372,86
0.405,85
0.351,85
0.373,84
0.489,84
0.469,84
0.492,84
0.398,83
0.392,82
0.376,82
0.479,82
0.507,82
0.531,81
0.622,81
0.463,80
0.447,80
0.346,80
