deal_nature,rows
דירה בבית קומות,2182293
מגורים,407786
ד. מגורים,353345
ללא תיכנון,154934
קוטג' דו משפחתי,112541
לא מעובדת,95178
קרקע,83781
קוטג' חד משפחתי,83256
בית בודד,48458
משרד,44293
חנות,39359
דירת גן,34451
בניין,32403
מחסנים,29537
קומבינציה,28866
תעשיה,24137
במשק חקלאי-נחלה,16821
חניה,10016
קוטג' טורי,8606
דירת גג,7834
מלאכה,7359
מסחרי + משרדים,6931
דירת נופש,4083
שלחין,3696
מסחרי + מגורים,3268
אופציה,3141
בניני ציבור,2725
קבוצת רכישה - קרקע מ,2462
מלונאות,2360
מלונאות ונופש,1528
משרדים + מגורים,1241
משק חקלאי,1185
פרדס,1164
דיור מוגן,985
בעל + זכויות מים,962
תעשייה,862
תחנת דלק,707
פעולה באיגוד,484
חלוקה/יחוד דירות,304
בית אבות,245
מבנים חקלאיים,227
ניוד זכויות בניה,132
בתהליכי תכנון,131
קרקע ל-8 יחידות ומעל,79
בניה שאינה לחקלאות,26
- מהות-,17
קבוצת רכישה - חקלאית,1
