name,versions,path,url,rows,bytes,sha256
8500 — רמלה,5,data/raw/over_fd06f5ae/files/v1/012e46c3_8500.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/012e46c3_8500.csv,26121,3220225,8ab031ae6da3f0ed65d934eb4d57f1d24dc10c0c611a623f47b6e1194d8e230e
7800 — פרדס חנה-כרכור,5,data/raw/over_fd06f5ae/files/v1/0184c923_7800.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/0184c923_7800.csv,21069,2960844,c605c5cf216983b8d71308ccb17a47cb1acdae5e566cdef734aa2ec9836dea46
6700 — טבריה,5,data/raw/over_fd06f5ae/files/v1/0645241c_6700.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/0645241c_6700.csv,24839,3101819,f4db77bc0b0833ae789db2cbf5c34052718b4cd09d776af2445c06c1ce900c54
6500 — חדרה,5,data/raw/over_fd06f5ae/files/v1/0703e78b_6500.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/0703e78b_6500.csv,53942,6624704,dcb36429455a2f1f704b10fdb5dc4ac00cf69eef5b0e41a9cdb4d3511f08453c
8200 — קריית מוצקין,5,data/raw/over_fd06f5ae/files/v1/083b2327_8200.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/083b2327_8200.csv,26139,3678121,340c096aca8f9542fea988877904add7e36303f9e712ce9949b281a97303a100
1061 — נוף הגליל,5,data/raw/over_fd06f5ae/files/v1/09f0d6d7_1061.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/09f0d6d7_1061.csv,19993,2651875,146271e58d9db514cf935f7f58836c41a183b1c0288e48feffef0ec629beab07
8600 — רמת גן,5,data/raw/over_fd06f5ae/files/v1/0e77964c_8600.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/0e77964c_8600.csv,84697,10664381,9e270f03f493f6db0b13635aab81500d1ace9c73f8746520ae767b5560ce1c0d
9000 — באר שבע,5,data/raw/over_fd06f5ae/files/v1/10938081_9000.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/10938081_9000.csv,114012,14751962,a88ab60dfb995c42446a9191666e822d276bdc6f05029981573e446b681750c5
2620 — קריית אונו,5,data/raw/over_fd06f5ae/files/v1/16eae629_2620.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/16eae629_2620.csv,18844,2538338,2c4ccc52901d14744b45cf491b17fd2cbb2bbade67bbc6ca2979ae70c23e49f1
1200 — מודיעין-מכבים-רעות,5,data/raw/over_fd06f5ae/files/v1/1c2746a4_1200.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/1c2746a4_1200.csv,43705,6547308,1f819f06e887ad73daad20cd3aa043114a76fd1ffb95347193cf2e1fa3039a9a
2660 — יבנה,5,data/raw/over_fd06f5ae/files/v1/1f20f9ab_2660.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/1f20f9ab_2660.csv,20464,2547487,989297cfa286826206f4e0595e2b85edc217ae096c26abcd5f71c6eaf838025b
4000 — חיפה,5,data/raw/over_fd06f5ae/files/v1/2128d347_4000.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/2128d347_4000.csv,125738,15587627,f20c3df4a66660954923c511d6183ed4a9f9abff734af3533e006bee8dad1153
9600 — קריית ים,5,data/raw/over_fd06f5ae/files/v1/2f536e40_9600.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/2f536e40_9600.csv,20967,2779879,6292dd1e55d9cdff47a124f4620c7a08d524cdaefe363502bfd1a77e4fcc45d4
2530 — באר יעקב,5,data/raw/over_fd06f5ae/files/v1/3543d580_2530.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/3543d580_2530.csv,17419,2308717,e8d20605e8c6e9b783efca75e063535b6ddec0ab8f716422ee897e26ef086781
2640 — ראש העין,5,data/raw/over_fd06f5ae/files/v1/41844d27_2640.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/41844d27_2640.csv,23121,3025771,b1199175703f0206ef72d6f87f5f625bdbe6bdd04cf2f3318c77b03195a9a8d9
7400 — נתניה,5,data/raw/over_fd06f5ae/files/v1/46e06885_7400.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/46e06885_7400.csv,108103,13570875,a66525a43e1af0887ae35cfe64d40767f6bc93fffd44085ce9029b2ae4169318
5000 — תל אביב -יפו,5,data/raw/over_fd06f5ae/files/v1/524396a2_5000.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/524396a2_5000.csv,250853,33682339,18d389807e0798928ea17d275340eb23b2857141b0e21cc35ba0d9c99f197d1b
6900 — כפר סבא,5,data/raw/over_fd06f5ae/files/v1/5aef1b0d_6900.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/5aef1b0d_6900.csv,41169,5234859,d10795e85f24e1baad5f161b8af9cdfe573ac68f1a31e3f90d0e2dd43fd5ccb8
8300 — ראשון לציון,5,data/raw/over_fd06f5ae/files/v1/5b3054a4_8300.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/5b3054a4_8300.csv,117457,15789373,ade7e0b210afc3c94e89368e4c94212f4bd4dd17e2ce80ef84f3dfe4188560b4
7100 — אשקלון,5,data/raw/over_fd06f5ae/files/v1/60a15ce2_7100.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/60a15ce2_7100.csv,85523,10914978,c5b8ee0d770cd793c4014ec4c1f4a297b2006b573c321cab59b5eae72e1c0ed8
2200 — דימונה,5,data/raw/over_fd06f5ae/files/v1/65ceddbf_2200.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/65ceddbf_2200.csv,17091,2178032,5346588f10a348918872a663070493b3c511fe46e219da5a58e18beb497fd22d
7000 — לוד,5,data/raw/over_fd06f5ae/files/v1/674957c8_7000.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/674957c8_7000.csv,29466,3585766,0ce1cc43f00158cc0e7940e4568bea8d9822f6976b210ffe9c4baea515134a6b
6300 — גבעתיים,5,data/raw/over_fd06f5ae/files/v1/67ee4ee9_6300.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/67ee4ee9_6300.csv,27606,3582274,2bab0dc5e25d0b5f8e5d891c968aea02c594bbab0d8b33810813e0dd7016abd1
