settlement_code,settlement,rows
5000,תל אביב -יפו,250853
3000,ירושלים,183550
4000,חיפה,125738
7900,פתח תקווה,124367
8300,ראשון לציון,117457
9000,באר שבע,114012
7400,נתניה,108103
70,אשדוד,95742
7100,אשקלון,85523
8600,רמת גן,84697
6600,חולון,79451
8400,רחובות,65930
6200,בת ים,63403
6500,חדרה,53942
6100,בני ברק,50976
6400,הרצלייה,50741
2610,בית שמש,49684
1200,מודיעין-מכבים-רעות,43705
6900,כפר סבא,41169
7700,עפולה,38913
8700,רעננה,37171
9100,נהרייה,35170
2600,אילת,34847
2630,קריית גת,32721
9700,הוד השרון,31838
6800,קריית אתא,30993
7000,לוד,29466
6300,גבעתיים,27606
8200,קריית מוצקין,26139
8500,רמלה,26121
9500,קריית ביאליק,25409
6700,טבריה,24839
246,נתיבות,24510
2650,רמת השרון,23378
1139,כרמיאל,23369
2640,ראש העין,23121
7600,עכו,22843
7800,פרדס חנה-כרכור,21069
9600,קריית ים,20967
7200,נס ציונה,20635
2660,יבנה,20464
1061,נוף הגליל,19993
2620,קריית אונו,18844
31,אופקים,17487
2530,באר יעקב,17419
2200,דימונה,17091
2400,אור יהודה,16046
2560,ערד,15414
1031,שדרות,15384
2500,נשר,14942
1309,אלעד,14558
2550,גדרה,14556
1247,חריש,14162
,יהוד,13189
8000,צפת,12991
681,גבעת שמואל,12776
2100,טירת כרמל,12032
9300,זכרון יעקב,11895
1034,קריית מלאכי,11556
1020,אור עקיבא,11179
874,מגדל העמק,10953
168,כפר יונה,10858
166,גן יבנה,9471
240,יקנעם עילית,9166
7300,נצרת,9061
2800,קריית שמונה,8466
1015,מבשרת ציון,8030
1304,שוהם,7679
,קרית חיים,7663
2300,קריית טבעון,7277
9200,בית שאן,7047
1063,מעלות-תרשיחא,6907
229,גני תקווה,6813
2710,אום אל-פחם,6546
7500,סח'נין,6532
9800,בנימינה-גבעת עדה,5918
529,אעבלין,5866
565,אזור,5777
494,דאלית אל-כרמל,5769
182,אבן יהודה,5527
154,תל מונד,5467
8800,שפרעם,5463
28,מזכרת בתיה,5421
195,קדימה-צורן,5160
53,עתלית,4655
831,ירוחם,4424
922,רכסים,4157
8900,טמרה,3908
4100,קצרין,3878
542,ריינה,3661
534,עספיא,3651
531,עראבה,3636
1268,מיתר,3408
2730,טייבה,3405
510,כפר מנדא,3395
516,מג`ד אל-כרום,3288
122,רמת ישי,3285
509,כפר כנא,3249
1113,צור הדסה,3080
812,שלומי,3037
2034,חצור הגלילית,3032
666,עומר,2930
1167,קיסריה,2924
47,כפר תבור,2921
498,טורעאן,2792
46,יבנאל,2787
481,מגאר,2712
99,מצפה רמון,2447
6000,באקה אל-גרביה,2396
469,קריית עקרון,2355
638,קלנסווה,2305
485,ג'ולס,2281
518,מעיליא,2277
1066,"בני עי""ש",2277
435,נצר סרני,2272
480,בית ג'ן,2243
65,מגדל,2224
,,2171
1271,להבים,2118
1263,כפר ורדים,2056
532,עין מאהל,2029
634,כפר קאסם,2014
522,נחף,2008
466,בית דגן,1967
502,ירכא,1963
507,כפר יאסיף,1959
,גבעת עדה,1947
,סביון*,1914
499,יפיע,1888
473,אבו סנאן,1865
757,מצליח,1829
543,ראמה,1828
26,ראש פינה,1791
1345,צור יצחק,1740
628,ג'ת,1721
192,כפר החורש,1710
1148,צור נתן,1710
,צורן,1702
1292,ג'דיידה-מכר,1634
2720,טירה,1633
637,ערערה,1598
489,דבוריה,1531
171,פרדסיה,1528
753,ינוב,1523
492,דייר חנא,1521
,מכבים-רעות,1509
478,אכסאל,1495
449,נחלים,1447
559,בוסתן הגליל,1439
1319,בת חפר,1402
511,עילוט,1368
520,משהד,1363
804,אחיסמך,1341
1137,קריית יערים,1326
327,שדות ים,1315
267,כפר שמריהו,1314
,כוכב יאיר,1311
535,פסוטה,1288
525,סאג'ור,1272
530,עיילבון,1233
1286,שגב-שלום,1160
483,בענה,1160
313,אפק,1136
,צור יגאל,1103
487,ג'ש )גוש חלב(,1075
504,כאבול,1063
130,משמר העמק,996
346,גליל ים,990
158,נען,960
760,בן זכאי,951
654,כפר קרע,949
,צהל,934
426,עין כרמל,911
633,כפר ברא,897
496,חורפיש,888
359,ניצנים,880
975,זרזיר,871
537,פוריידיס,859
,רמת אפעל,851
289,עין המפרץ,837
661,שער אפרים,832
1313,פוריה עילית,818
41,אליכין,816
9400,יהוד-מונוסון,801
241,יקנעם )מושבה(,791
247,רשפון,772
482,בועיינה-נוג'ידאת,763
536,פקיעין )בוקייעה(,756
758,יד חנה,743
1098,מרכז שפירא,742
276,צור משה,736
147,גבעת ברנר,734
541,ג'סר א-זרקא,733
998,ביר אל-מכסור,710
720,ניר גלים,706
