portion,rows
1.000,2221128
0.500,242390
0.000,77232
0.333,65048
0.250,53671
0.001,27181
0.166,23992
0.125,19268
0.200,18457
0.083,14151
0.010,13395
0.750,12487
0.666,11674
0.100,11309
0.062,8619
0.002,8096
0.050,7556
0.003,6825
0.020,6813
0.041,6661
0.005,6499
0.004,6426
0.400,6383
0.142,5934
0.006,5644
0.300,5494
0.111,5463
0.008,4890
0.007,4802
0.055,4367
0.150,4303
0.009,4252
0.013,4249
0.015,4211
0.031,4210
0.012,4185
0.011,4181
0.027,4049
0.350,4036
0.600,4010
0.025,3930
0.016,3858
0.030,3633
0.040,3507
0.014,3407
0.700,3351
0.017,3300
0.018,3148
0.033,3029
0.375,2972
0.035,2961
0.090,2892
0.800,2794
0.023,2743
0.022,2668
0.066,2653
0.900,2571
0.071,2565
0.019,2556
0.060,2513
0.037,2335
0.070,2250
0.021,2208
0.080,2178
0.187,2126
0.026,2055
0.029,1968
0.028,1946
0.024,1943
0.120,1913
0.047,1790
0.045,1741
0.160,1692
0.180,1685
0.625,1645
0.032,1603
0.110,1580
0.450,1574
0.038,1567
0.034,1543
0.130,1540
0.140,1509
0.170,1435
0.036,1430
0.075,1407
0.046,1378
0.043,1347
0.093,1345
0.039,1308
0.240,1275
0.052,1263
0.650,1194
0.190,1194
0.044,1186
0.048,1157
0.220,1148
0.058,1147
0.042,1138
0.053,1126
0.049,1118
0.054,1103
0.270,1071
0.550,1048
0.875,1043
0.230,1041
0.416,1017
0.076,1004
0.057,991
0.051,990
0.056,989
0.280,962
0.440,952
0.210,935
0.330,913
0.260,902
0.059,896
0.833,894
0.065,883
0.061,854
0.222,848
0.072,847
0.310,843
0.064,818
0.067,815
0.320,814
0.133,811
0.068,807
0.074,802
0.078,800
0.069,789
0.340,788
0.370,785
0.990,785
0.063,785
0.380,782
0.290,757
0.095,753
0.099,744
0.225,742
0.950,720
0.312,710
0.085,708
0.087,704
0.850,703
0.560,693
0.132,671
0.104,666
0.360,653
0.390,653
0.082,649
0.420,646
0.107,641
0.208,629
0.081,622
0.088,621
0.410,619
0.980,599
0.490,598
0.916,596
0.590,596
0.077,595
0.199,594
0.470,593
0.460,584
0.660,583
0.105,582
0.084,580
0.175,577
0.091,576
0.630,575
0.086,572
0.116,567
0.073,567
0.430,566
0.480,558
0.285,555
0.145,553
0.620,552
0.097,549
0.092,536
0.124,535
0.079,526
0.162,519
0.156,515
0.106,515
0.610,513
0.910,507
0.580,506
0.138,504
0.670,494
0.108,493
0.089,481
0.109,480
0.437,476
0.098,472
0.102,467
0.096,466
0.115,465
0.840,462
0.135,453
0.101,453
0.291,452
0.114,450
0.094,450
0.112,444
0.820,444
0.264,442
0.510,433
0.117,431
0.520,430
0.680,425
0.403,422
0.720,411
0.499,411
0.870,409
0.123,405
0.103,405
0.249,402
0.121,396
0.113,396
0.780,394
0.880,391
0.760,386
0.583,385
0.690,385
0.530,380
0.730,378
0.458,376
0.640,376
0.118,372
0.119,371
0.475,370
0.960,368
0.122,366
0.266,364
0.937,359
0.710,359
0.275,357
0.860,357
0.570,354
0.540,348
0.830,348
0.770,347
0.262,345
0.970,345
0.137,341
0.920,340
0.218,335
0.165,335
0.148,333
0.157,333
0.153,330
0.740,328
0.930,323
0.126,323
0.128,316
0.127,315
0.232,315
0.940,313
0.152,310
0.136,310
0.212,306
0.195,306
0.181,303
0.155,303
0.214,292
0.134,290
0.154,289
0.129,287
0.185,286
0.205,284
0.131,283
0.183,283
0.812,282
0.277,278
0.143,278
0.890,273
0.194,273
0.173,270
0.790,270
0.141,269
0.147,264
0.171,264
0.139,263
0.144,261
0.233,259
0.164,258
0.151,255
0.237,250
0.241,244
0.158,240
0.167,240
0.268,240
0.178,237
0.177,236
0.149,233
0.428,232
0.176,230
0.810,228
0.245,226
0.325,225
0.163,225
0.146,224
0.305,223
0.161,223
0.191,216
0.196,213
0.562,209
0.229,209
0.203,208
0.444,207
0.159,207
0.206,206
0.169,206
0.174,204
0.168,201
0.197,200
0.495,200
0.182,197
0.192,196
0.186,194
0.184,193
0.281,188
0.223,187
0.252,187
0.179,184
0.425,183
0.189,177
0.235,176
0.198,176
0.243,173
0.202,172
0.172,172
0.238,171
0.215,170
0.188,170
0.216,167
0.406,165
0.234,164
0.388,163
0.571,162
0.315,161
0.255,161
0.498,159
0.193,156
0.236,155
0.248,154
0.239,153
0.997,152
0.226,150
0.307,150
0.555,148
0.242,147
0.213,146
0.265,145
0.231,145
0.296,142
0.274,141
0.332,141
0.207,141
0.501,140
0.335,139
0.257,139
0.777,138
0.857,137
0.228,135
0.204,134
0.211,134
0.246,133
0.227,133
0.201,132
0.244,132
0.283,130
0.247,130
0.267,129
0.272,128
0.805,128
0.256,128
0.253,126
0.251,125
0.316,124
0.217,124
0.989,120
0.254,119
0.295,119
0.321,118
0.259,117
0.263,117
0.357,116
0.219,116
0.343,114
0.481,114
0.505,113
0.302,112
0.518,111
0.306,110
0.318,110
0.282,109
0.278,109
0.287,109
0.224,108
0.541,106
0.221,106
0.975,106
0.261,106
0.485,106
0.334,104
0.466,104
0.958,103
0.209,103
0.273,102
0.468,101
0.323,101
0.258,101
0.314,101
0.345,100
0.395,100
0.294,99
0.286,99
0.301,99
0.292,98
0.337,98
0.366,97
0.317,96
0.533,96
0.288,95
0.331,95
0.377,95
0.687,94
0.289,94
0.293,94
0.303,93
0.602,93
0.363,92
0.276,92
0.328,92
0.465,91
0.297,90
0.298,90
0.279,89
0.269,89
0.326,88
0.714,87
0.365,86
0.439,85
0.355,84
0.415,84
0.594,84
0.271,84
0.979,83
0.324,82
0.319,82
0.299,82
0.496,82
0.327,80
0.304,80
0.998,80
0.435,79
0.348,79
0.313,78
0.433,78
0.886,78
0.309,78
0.385,77
0.502,77
0.347,77
0.445,77
0.322,77
0.284,76
0.497,76
0.888,75
0.308,75
0.494,74
0.436,74
0.487,74
0.622,73
0.454,73
0.361,73
0.311,73
0.342,72
0.338,72
0.525,72
0.341,71
0.362,71
0.545,71
0.329,71
0.344,70
0.486,69
0.367,69
0.455,68
0.349,67
0.758,67
0.791,66
0.384,66
0.372,66
0.354,66
0.387,66
0.492,65
0.488,65
0.356,65
0.352,64
0.483,64
0.393,64
0.725,64
0.446,64
0.476,63
0.368,63
0.405,63
0.464,63
0.386,63
0.692,63
0.417,63
0.438,63
0.373,62
0.575,62
0.457,62
0.479,62
0.358,62
0.364,62
0.336,62
0.374,62
0.489,61
0.504,61
0.376,61
0.462,60
0.397,60
0.381,59
0.531,59
0.493,59
0.392,58
0.413,58
0.351,58
0.472,57
0.484,57
0.398,57
0.507,57
0.515,56
0.447,56
0.509,56
0.964,55
0.928,55
0.775,55
0.469,55
0.427,54
0.346,54
0.449,54
0.443,54
0.426,53
0.382,53
0.389,53
0.353,53
0.593,52
0.482,52
0.409,52
0.473,52
0.383,52
0.369,52
0.394,52
0.503,52
0.708,51
0.412,51
0.781,51
0.453,51
0.968,50
0.401,50
0.463,50
0.414,50
0.434,49
0.944,49
0.526,49
0.379,49
0.512,49
