deal_nature,rows
דירה בבית קומות,1972801
ד. מגורים,320040
מגורים,272934
ללא תיכנון,98312
קוטג' דו משפחתי,84234
קוטג' חד משפחתי,55412
לא מעובדת,52807
קרקע,52726
משרד,42044
חנות,36391
בית בודד,30158
בניין,29738
קומבינציה,27851
מחסנים,27523
דירת גן,26940
תעשיה,19645
חניה,9133
במשק חקלאי-נחלה,8726
דירת גג,7061
קוטג' טורי,6504
מלאכה,6491
מסחרי + משרדים,5614
דירת נופש,3193
אופציה,2944
מסחרי + מגורים,2730
בניני ציבור,2339
קבוצת רכישה - קרקע מ,2103
שלחין,1986
מלונאות,1860
משרדים + מגורים,1016
מלונאות ונופש,1014
דיור מוגן,774
משק חקלאי,756
פרדס,753
תעשייה,668
תחנת דלק,526
בעל + זכויות מים,505
פעולה באיגוד,444
חלוקה/יחוד דירות,224
בית אבות,208
מבנים חקלאיים,169
ניוד זכויות בניה,123
קרקע ל-8 יחידות ומעל,71
בתהליכי תכנון,71
- מהות-,16
בניה שאינה לחקלאות,13
קבוצת רכישה - חקלאית,1
