city,legacy_rows,new_rows,new_2024_rows,new_2025_rows,new_2026_rows,new_valid_max_date,legacy_valid_max_date,old_rows_with_parcel_date_match,one_to_one_parcel_date_candidates,candidate_deal_amount_equal_within_1_ils,candidate_declared_amount_equal_within_1_ils,new_rows_existing_nonzero_subparcel_new_date,nonzero_subparcel_area_rooms_multi_date_groups
אשדוד,34120,95742,3747,3165,1316,2026-09-07,2024-09-18,24538,23558,16889,16918,28843,6690
אשקלון,22776,85523,3614,2896,1690,2026-09-17,2024-09-19,15056,14599,11763,11749,20120,6532
באר שבע,42077,114012,5214,3963,1545,2026-07-27,2024-09-17,28770,28048,23872,23970,43572,8773
בית שמש,13149,49684,2362,2405,1138,2026-09-07,2024-09-17,7872,7591,5473,5461,7154,3303
בני ברק,24124,50976,2274,1722,614,2026-08-02,2024-09-19,17415,16115,9365,9373,13560,3076
בת ים,29157,63403,2729,2303,559,2026-07-21,2024-09-11,25948,24166,12607,12602,17874,4961
הרצלייה,18384,50741,2205,2198,514,2026-08-12,2024-09-12,13164,12016,6549,6556,9597,2557
חדרה,18356,53942,2584,2210,809,2026-08-18,2024-09-15,10887,10352,7335,7334,11187,2840
חולון,36352,79451,2062,1922,649,2026-07-21,2024-09-19,31049,29327,16512,16550,18674,5001
חיפה,62472,125738,6013,5360,2159,2026-08-23,2024-09-18,44682,42007,28309,28262,34792,8834
ירושלים,65504,183550,8911,7119,2799,2026-08-24,2024-09-17,53454,49986,31568,31553,39102,12218
כפר סבא,17076,41169,1376,1480,414,2026-07-16,2024-09-18,14946,14241,8882,8885,9658,1937
מודיעין-מכבים-רעות,14520,43705,1121,999,619,2026-09-01,2024-09-11,12452,12245,9823,9830,11739,2703
נתניה,45471,108103,4169,4316,1596,2026-08-05,2024-09-16,34664,32705,20385,20475,26984,5961
פתח תקווה,49408,124367,4712,3903,1333,2026-07-18,2024-09-18,39647,37590,24241,24365,31283,7317
ראשון לציון,40730,117457,3991,4099,1506,2026-07-21,2024-09-15,33562,31936,20335,20340,27862,8031
רחובות,23895,65930,2317,2014,799,2026-07-13,2024-09-19,18236,17236,11658,11642,15007,4384
רמת גן,39019,84697,3060,2242,795,2026-07-16,2025-08-24,23539,21586,11172,11253,19142,3529
רעננה,15041,37171,1806,1362,445,2026-07-14,2024-09-11,11253,10427,5919,5913,8590,1468
תל אביב -יפו,100245,250853,9296,8825,2787,2026-07-26,2026-01-16,63340,56957,27950,27908,52852,11174
