city,portion_group,candidate_rows,deal_within_1,deal_within_500,deal_within_1000,deal_divided_by_portion_within_1000,declared_within_1,declared_within_500,declared_within_1000,declared_divided_by_portion_within_1000
אשדוד,whole,21276,16877,18971,20923,20923,16895,19009,20985,20985
אשדוד,partial,2273,10,10,14,1811,21,26,33,1789
אשדוד,zero,9,2,3,8,0,2,3,8,0
אשקלון,whole,13338,11754,12536,13171,13171,11730,12509,13135,13135
אשקלון,partial,1259,9,10,11,1048,19,22,24,1023
אשקלון,zero,2,0,1,2,0,0,1,2,0
באר שבע,whole,25880,23865,24853,25508,25508,23898,24886,25543,25543
באר שבע,partial,2167,6,7,7,1880,71,75,80,1807
באר שבע,zero,1,1,1,1,0,1,1,1,0
בית שמש,whole,6940,5460,6186,6810,6810,5439,6173,6785,6785
בית שמש,partial,650,12,12,13,560,21,24,36,533
בית שמש,zero,1,1,1,1,0,1,1,1,0
בני ברק,whole,13342,9289,11230,13142,13142,9287,11185,13025,13025
בני ברק,partial,2704,49,51,55,1973,59,105,148,1878
בני ברק,zero,69,27,45,58,0,27,44,55,0
בת ים,whole,19239,12568,15746,18821,18821,12554,15722,18775,18775
בת ים,partial,4877,23,33,45,3681,31,59,82,3637
בת ים,zero,50,16,26,42,0,17,27,43,0
הרצלייה,whole,10015,6518,8222,9847,9847,6504,8176,9791,9791
הרצלייה,partial,1996,30,32,41,1533,51,77,100,1480
הרצלייה,zero,5,1,2,3,0,1,2,3,0
חדרה,whole,8933,7278,7978,8711,8711,7254,7941,8649,8649
חדרה,partial,1390,39,40,43,1059,62,76,95,984
חדרה,zero,29,18,21,22,0,18,19,20,0
חולון,whole,23897,16294,20078,23588,23588,16266,19888,23220,23220
חולון,partial,5130,24,24,28,3835,88,335,578,3328
חולון,zero,300,194,217,248,0,196,220,250,0
חיפה,whole,35508,28228,31641,34527,34527,28115,31448,34254,34254
חיפה,partial,6483,68,80,88,5260,134,203,266,5043
חיפה,zero,16,13,15,16,0,13,14,15,0
ירושלים,whole,43534,31481,37371,42838,42838,31391,36819,41712,41712
ירושלים,partial,6415,77,85,96,4492,152,388,617,4040
ירושלים,zero,37,10,22,33,0,10,24,32,0
כפר סבא,whole,12232,8863,10460,11958,11958,8854,10445,11934,11934
כפר סבא,partial,2008,19,23,29,1609,31,60,91,1551
כפר סבא,zero,1,0,0,1,0,0,0,1,0
מודיעין-מכבים-רעות,whole,11420,9773,10599,11270,11270,9772,10599,11261,11261
מודיעין-מכבים-רעות,partial,766,2,2,2,664,9,15,23,646
מודיעין-מכבים-רעות,zero,59,48,51,56,0,49,52,57,0
נתניה,whole,28227,20353,24097,27671,27671,20360,24070,27604,27604
נתניה,partial,4475,31,36,42,3483,114,190,268,3267
נתניה,zero,3,1,3,3,0,1,2,2,0
פתח תקווה,whole,31825,24153,28075,31450,31450,24135,27957,31193,31193
פתח תקווה,partial,5673,53,58,65,4603,194,403,586,4096
פתח תקווה,zero,92,35,58,81,0,36,59,80,0
ראשון לציון,whole,27650,20287,23870,27073,27073,20259,23749,26862,26862
ראשון לציון,partial,4245,31,38,42,3283,64,129,206,3105
ראשון לציון,zero,41,17,28,33,0,17,26,31,0
רחובות,whole,15015,11635,13290,14712,14712,11613,13227,14605,14605
רחובות,partial,2208,16,20,23,1751,22,35,48,1718
רחובות,zero,13,7,9,12,0,7,9,12,0
רמת גן,whole,16629,11105,13761,16334,16334,11104,13641,16072,16072
רמת גן,partial,4866,34,49,68,3677,116,261,404,3275
רמת גן,zero,91,33,59,78,0,33,53,71,0
רעננה,whole,9228,5890,7447,9001,9001,5879,7435,8979,8979
רעננה,partial,1198,28,35,38,853,33,43,47,838
רעננה,zero,1,1,1,1,0,1,1,1,0
תל אביב -יפו,whole,44463,27531,35041,42209,42209,27441,34766,41727,41727
תל אביב -יפו,partial,12017,249,304,356,8559,296,420,546,8285
תל אביב -יפו,zero,477,170,275,379,0,171,266,373,0
