gush,chelka,sub_chelka,distinct_sale_dates,first_date,last_date
5303,6,19,15,2002-05-30,2003-08-20
8700,6,712,11,2015-05-20,2015-12-31
39856,74,17,11,2018-10-21,2019-03-24
7814,49,5,10,2025-02-25,2025-07-09
10397,101,2,10,2022-02-03,2022-12-25
39856,74,13,10,2018-10-23,2019-07-08
39856,74,37,10,2018-10-07,2021-07-26
3654,12,804,9,2017-07-19,2017-08-23
7814,49,6,9,2025-01-28,2025-07-16
8700,1,654,9,2016-01-29,2016-08-23
9905,5,2,9,2013-06-07,2015-12-30
10160,50,2,9,2023-08-16,2025-07-06
10397,101,1,9,2022-01-18,2023-03-13
29956,9,19,9,2022-07-06,2024-06-17
39856,74,21,9,2018-10-07,2019-01-17
39874,33,6,9,2023-12-18,2024-11-24
39874,33,7,9,2024-01-01,2026-04-28
39874,33,10,9,2023-10-31,2024-12-05
39874,33,19,9,2023-10-25,2025-06-12
39874,33,21,9,2023-12-14,2025-07-20
599,1,3,8,2020-11-16,2022-01-25
5504,3,14,8,2022-12-05,2024-02-26
5504,3,15,8,2022-12-06,2024-06-19
5504,3,17,8,2023-12-26,2024-11-21
10525,6,23,8,2023-01-26,2024-06-19
29956,9,15,8,2022-01-18,2024-04-10
70004,42,26,8,2024-08-18,2025-05-13
70004,58,20,8,2024-10-01,2025-05-28
70004,58,28,8,2024-09-10,2026-07-29
100278,56,39,8,2020-09-16,2021-12-21
362,91,2,7,2023-06-02,2024-09-29
1083,338,19,7,2023-07-02,2024-12-29
2062,112,16,7,2025-04-06,2025-05-29
5036,33,7,7,2001-07-29,2021-10-05
5497,8,24,7,2016-07-31,2018-01-05
5504,3,16,7,2022-11-24,2023-01-01
6187,1,10,7,2012-03-12,2014-06-18
7814,7,7,7,2024-07-26,2024-08-28
7814,49,3,7,2025-01-29,2025-02-18
7814,49,4,7,2025-02-25,2025-05-28
7936,34,10,7,2024-01-22,2024-03-04
8700,1,312,7,2016-01-08,2016-08-29
8700,1,645,7,2016-04-12,2016-09-30
8700,1,653,7,2015-10-30,2016-08-28
10397,101,7,7,2021-10-13,2023-06-19
10449,15,12,7,2004-03-19,2024-12-16
10864,11,35,7,2009-09-17,2026-01-27
11308,77,817,7,2003-05-20,2007-02-14
14717,48,1,7,2023-03-26,2026-08-25
34296,369,8,7,2002-12-09,2003-04-01
39949,130,14,7,2020-09-13,2021-02-11
39983,286,32,7,2023-03-01,2025-05-12
39986,18,4,7,2023-08-28,2025-11-10
39986,18,5,7,2023-08-03,2025-03-04
70004,42,19,7,2024-06-30,2026-08-02
70004,42,31,7,2024-06-30,2025-08-05
70004,58,2,7,2024-10-31,2026-04-16
100278,56,4,7,2020-10-01,2022-03-24
388,66,32,6,2021-11-18,2024-09-04
599,1,4,6,2020-12-21,2021-08-17
1083,338,10,6,2023-07-03,2024-07-17
1083,338,12,6,2023-06-21,2024-09-04
1083,338,15,6,2023-07-04,2024-09-16
1083,338,18,6,2023-06-20,2024-10-09
1083,338,21,6,2024-06-19,2024-12-17
1083,338,22,6,2024-06-25,2024-12-23
2062,112,12,6,2025-04-02,2025-05-27
2530,38,18,6,2022-11-22,2025-06-19
2871,91,28,6,2011-01-06,2026-05-31
2882,17,2,6,2017-01-12,2019-07-30
3837,17,14,6,2022-01-02,2026-06-01
3837,17,22,6,2021-12-30,2022-06-06
3837,17,25,6,2021-12-30,2022-01-24
3837,17,26,6,2021-12-28,2022-11-24
3932,55,3,6,2018-09-06,2019-05-07
4546,10,13,6,1999-02-17,2021-03-09
5171,322,7,6,2001-12-27,2002-12-03
5204,48,23,6,2004-03-18,2025-03-30
5497,8,31,6,2016-08-25,2017-11-10
5504,3,12,6,2022-12-05,2022-12-21
5504,3,13,6,2023-01-02,2023-05-15
6049,313,10,6,1999-06-27,2025-11-06
6641,194,16,6,2023-02-27,2023-06-07
6641,194,25,6,2023-02-26,2023-05-14
6641,194,37,6,2023-02-27,2023-07-19
7814,49,1,6,2025-01-29,2025-02-12
7814,49,10,6,2025-01-28,2025-02-05
7936,34,5,6,2024-01-21,2024-02-13
8016,6,2,6,2022-12-27,2023-06-20
8700,2,17,6,2006-01-23,2014-11-09
8700,6,711,6,2015-06-08,2015-11-22
9040,42,42,6,2019-06-05,2024-12-22
10160,45,6,6,2024-02-08,2025-03-19
10160,76,6,6,2024-02-18,2025-11-04
11146,6,11,6,2000-06-02,2017-08-16
11194,330,5,6,2001-12-18,2024-04-15
11562,115,39,6,2000-06-14,2024-10-01
11707,33,5,6,2021-03-17,2022-05-31
13397,33,1,6,2015-06-18,2015-11-15
14717,48,3,6,2023-03-29,2023-05-22
16660,29,15,6,2001-05-21,2025-02-20
17395,29,1,6,2018-02-25,2022-02-06
