gush,chelka,sub_chelka,asset_area,room_num,distinct_sale_dates
11210,33,116,22.0,1.0,2
11208,51,37,73.0,3.0,3
11208,51,17,129.0,5.0,2
11208,51,21,98.0,4.0,2
11208,23,18,48.0,2.0,3
11208,51,8,129.0,5.0,2
11208,51,13,129.0,5.0,2
11208,69,4,73.0,3.0,2
11232,93,1,68.0,3.0,2
11232,72,8,58.0,3.0,2
11269,12,11,116.0,5.0,3
11269,24,5,124.0,4.0,2
12378,11,6,62.0,3.0,3
11146,17,27,62.0,3.0,2
11146,9,33,59.0,3.0,2
11146,11,36,75.0,3.0,2
11146,5,19,60.0,3.0,2
11146,11,22,59.0,3.0,3
11146,19,13,78.0,4.0,2
11146,8,21,60.0,3.0,5
11146,13,4,63.0,3.0,2
11146,10,23,59.0,3.0,3
11146,18,18,62.0,3.0,2
11146,18,1,91.0,4.0,2
11146,7,2,88.0,4.0,2
11146,5,21,60.0,3.0,3
11146,18,4,78.0,4.0,3
11146,19,24,78.0,4.0,2
11146,7,24,65.0,3.0,2
11146,5,20,88.0,4.0,2
11146,19,9,78.0,4.0,2
11146,10,40,59.0,3.0,2
11146,4,16,48.0,2.0,2
11146,11,34,59.0,3.0,4
11146,17,15,75.0,3.0,2
11146,14,27,79.0,4.0,2
11146,18,25,78.0,4.0,4
11146,6,30,48.0,3.0,2
11203,37,20,132.0,5.0,2
11203,56,110,93.0,3.0,2
11203,56,142,116.0,5.0,3
11203,56,76,100.0,4.0,2
11203,32,6,117.0,5.0,2
11235,329,15,94.0,4.0,2
11235,375,15,100.0,4.0,2
11235,211,17,54.0,3.0,2
11235,231,10,49.0,3.0,2
11235,210,6,54.0,3.0,2
11235,214,35,46.0,3.0,2
11235,243,7,54.0,3.0,3
11235,376,49,57.0,3.0,2
11235,243,9,54.0,3.0,2
11235,216,61,46.0,3.0,2
11235,211,2,54.0,3.0,2
11235,214,2,56.0,3.0,2
11237,26,6,129.0,5.0,2
11237,26,11,129.0,5.0,2
11237,26,1,129.0,5.0,4
11237,187,9,58.0,3.0,2
11252,14,16,67.0,3.0,2
11252,22,3,76.0,4.0,2
11252,7,46,80.0,4.0,3
11252,7,23,49.0,2.0,2
11252,13,26,78.0,3.0,2
11252,15,4,77.0,4.0,2
11209,9,13,72.0,3.0,2
11210,33,115,44.0,2.0,2
11210,33,121,22.0,1.0,3
11210,33,111,22.0,1.0,2
11210,33,114,22.0,1.0,2
10174,58,1,28.0,2.0,4
10174,52,15,60.0,3.0,2
10174,52,16,61.0,3.0,2
10174,53,15,60.0,3.0,2
10174,76,24,59.0,3.0,2
10174,67,15,48.0,2.0,3
10174,67,39,48.0,2.5,2
10174,80,13,54.0,3.0,2
10174,80,6,70.0,3.0,2
10174,80,8,54.0,3.0,2
11146,4,12,48.0,2.0,3
11146,5,11,60.0,3.0,3
11146,5,29,60.0,3.0,4
11146,4,31,60.0,3.0,3
11146,5,1,69.0,3.0,2
11146,5,5,60.0,3.0,2
11146,5,31,60.0,3.0,4
11146,4,13,60.0,3.0,2
11146,4,8,48.0,2.0,2
11146,4,7,60.0,3.0,3
11146,5,23,60.0,3.0,5
11146,4,1,60.0,3.0,3
11146,4,27,60.0,3.0,4
11146,4,22,48.0,2.5,2
11146,6,19,60.0,3.0,5
11146,7,23,66.0,3.0,2
11146,7,16,65.0,3.0,3
11146,6,31,60.0,3.0,2
11146,6,23,60.0,3.0,2
11146,6,11,60.0,3.0,6
11146,6,3,60.0,3.0,2
11146,7,32,65.0,3.0,2
11146,6,5,60.0,3.0,2
11146,7,24,60.0,3.0,2
11146,7,19,61.0,3.0,2
11146,6,27,60.0,3.0,2
11146,7,13,60.0,3.0,2
11146,6,1,60.0,3.0,2
11146,8,23,60.0,3.0,2
11146,8,13,60.0,3.0,3
11146,8,29,60.0,3.0,2
11146,9,28,45.0,2.0,2
11146,9,30,45.0,2.0,2
11146,10,24,59.0,3.0,3
11146,10,31,45.0,2.0,3
11146,10,3,59.0,3.0,2
11146,9,15,45.0,2.0,2
11146,10,26,45.0,2.0,3
11146,9,5,59.0,3.0,3
11146,9,39,59.0,3.0,4
11146,10,22,59.0,3.0,3
11146,9,31,45.0,2.0,2
11146,10,7,59.0,3.0,3
11146,10,11,45.0,2.0,3
11146,9,40,59.0,3.0,6
11146,9,2,60.0,3.0,2
11146,10,9,45.0,2.0,3
11146,10,33,59.0,3.0,2
11146,10,36,59.0,3.0,2
11146,10,21,59.0,3.0,2
11146,10,9,45.0,2.5,2
11146,11,24,59.0,3.0,2
11146,11,33,59.0,3.0,2
11146,11,16,45.0,2.0,2
11146,13,8,63.0,3.0,2
11146,12,18,63.0,3.0,4
11146,11,15,45.0,2.0,2
11146,11,36,59.0,3.0,4
11146,11,25,45.0,2.0,3
11146,11,9,45.0,2.0,2
11146,11,28,45.0,2.0,3
11146,11,10,45.0,2.0,3
11146,11,20,59.0,3.0,2
11146,11,29,45.0,2.0,3
11146,12,11,64.0,3.0,3
11146,12,5,64.0,3.0,2
11146,14,25,91.0,4.0,2
11146,14,13,78.0,4.0,3
11146,14,28,80.0,4.0,2
11146,17,14,62.0,3.0,4
11146,17,6,62.0,3.0,4
11146,17,28,78.0,4.0,2
11146,16,14,78.0,4.0,2
11146,18,15,74.0,3.0,2
11146,17,11,62.0,3.0,2
11146,16,4,80.0,4.0,3
11146,16,29,78.0,4.0,3
11146,18,8,78.0,4.0,2
11146,17,25,78.0,4.0,2
11146,17,15,62.0,3.0,2
11146,18,22,62.0,3.0,3
11146,18,15,62.0,3.0,3
11146,18,17,78.0,4.0,2
11146,18,21,78.0,4.0,2
11146,18,2,62.0,3.0,2
11146,19,3,62.0,3.0,2
11146,19,23,62.0,3.0,3
11146,19,20,78.0,4.0,4
11185,110,3,106.0,5.0,2
11185,110,1,106.0,5.0,2
11185,111,2,118.0,5.0,2
11185,109,20,117.0,6.0,2
11203,12,33,130.0,5.0,2
11203,32,48,68.0,2.5,2
11203,36,4,120.0,5.0,3
11203,36,13,112.0,5.0,2
11203,36,35,81.0,3.0,2
11203,37,6,95.0,4.0,2
11203,54,12,126.0,5.0,2
